Metrica,Valor
Janela (dias),60.0
Sobreposicao (dias),14.0
Passo (dias),46.0
Total Entregas,53510.0
Custo Total,2107999.92
Pico Diario (max entregas/dia),538.0
Dia do Pico,100.0
Custo Medio por Entrega,39.3945
