Dia,Custo,Entregas
1,0.0,0
2,14.8891,1
3,309.4324,9
4,400.1284,11
5,1148.4047,26
6,1795.1968,48
7,0.0,0
8,0.0,0
9,4274.0786,105
10,3312.8407,72
11,3680.3821,88
12,3026.1101,78
13,6613.4924,148
14,0.0,0
15,0.0,0
16,6771.9948,154
17,3737.3019,96
18,5899.9705,125
19,5374.9604,137
20,7334.8101,180
21,0.0,0
22,0.0,0
23,10619.1927,251
24,4809.7647,124
25,7503.838,180
26,6411.5144,184
27,8323.6271,218
28,0.0,0
29,0.0,0
30,12983.4844,313
31,7010.1173,186
32,7083.3461,175
33,7949.2801,223
34,7610.3065,202
35,0.0,0
36,0.0,0
37,9036.7643,219
38,8025.6529,210
39,7796.8069,195
40,4956.9906,135
41,4579.508,121
42,0.0,0
43,0.0,0
44,8230.8952,190
45,6611.2479,145
46,3646.9917,81
47,8696.9604,226
48,12498.0848,333
49,0.0,0
50,0.0,0
51,0.0,0
52,0.0,0
53,0.0,0
54,17039.6928,462
55,10271.548,310
56,0.0,0
57,0.0,0
58,14596.913,363
59,12517.6873,342
60,13168.7634,348
61,15806.8508,408
62,6202.3776,153
63,0.0,0
64,0.0,0
65,6290.6436,157
66,5803.1759,154
67,5968.8536,158
68,5938.1885,164
69,8399.8765,188
70,0.0,0
71,0.0,0
72,10034.3961,241
73,6754.0004,168
74,7549.6619,186
75,6535.72,164
76,7620.6426,193
77,0.0,0
78,0.0,0
79,10052.1157,245
80,9129.2243,229
81,9022.2622,226
82,7221.0597,175
83,6546.904,156
84,0.0,0
85,0.0,0
86,8163.4284,203
87,5633.2449,138
88,6793.5999,169
89,6354.4412,161
90,7055.1453,176
91,0.0,0
92,0.0,0
93,9639.427,236
94,9105.8939,219
95,10305.1818,264
96,13787.6639,385
97,0.0,0
98,0.0,0
99,0.0,0
100,19119.4262,538
101,13366.3244,378
102,14709.9711,399
103,13943.4746,379
104,14799.984,372
105,0.0,0
106,0.0,0
107,16968.1637,426
108,3546.064,88
109,3606.969,88
110,5508.8014,138
111,0.0,0
112,0.0,0
113,0.0,0
114,9489.3181,231
115,7090.9122,164
116,5649.2061,141
117,6533.3299,163
118,7933.4004,204
119,0.0,0
120,0.0,0
121,0.0,0
122,13097.6076,314
123,8520.9209,221
124,7651.8532,203
125,7498.1621,177
126,0.0,0
127,0.0,0
128,10958.964,281
129,6083.1151,147
130,6730.3547,156
131,6993.4138,157
132,7281.208,175
133,0.0,0
134,0.0,0
135,7473.5742,188
136,4278.6891,108
137,4384.305,109
138,5740.9533,135
139,14566.8125,346
140,0.0,0
141,0.0,0
142,12393.0767,324
143,12450.3276,327
144,11855.0253,314
145,10747.3364,327
146,11926.3909,356
147,0.0,0
148,0.0,0
149,16062.0435,441
150,12927.4664,328
151,14275.3225,367
152,13766.5707,343
153,14107.1419,375
154,0.0,0
155,0.0,0
156,6373.0737,159
157,4795.302,122
158,7745.6139,186
159,0.0,0
160,8140.5501,201
161,0.0,0
162,0.0,0
163,9770.4517,234
164,7745.1767,190
165,6189.5629,169
166,6327.6896,163
167,7479.36,180
168,0.0,0
169,0.0,0
170,8059.6079,202
171,7011.1108,149
172,6965.6217,187
173,8860.6384,208
174,5992.8598,150
175,0.0,0
176,0.0,0
177,7612.2755,172
178,5080.1403,127
179,4482.0734,105
180,5278.8246,142
181,6682.8174,153
182,0.0,0
183,0.0,0
184,6212.9607,146
185,13735.1527,362
186,8205.8719,209
187,8588.964,218
188,12611.2822,324
189,0.0,0
190,0.0,0
191,15143.587,409
192,11342.7337,327
193,12371.6981,340
194,14381.4218,386
195,15677.0897,411
196,0.0,0
197,0.0,0
198,16779.0746,438
199,17603.9115,435
200,2793.6889,75
201,3189.681,90
202,4334.7002,111
203,0.0,0
204,0.0,0
205,7680.6275,190
206,6300.7513,156
207,5481.789,123
208,6041.2524,149
209,7580.3948,185
210,0.0,0
211,0.0,0
212,10737.4734,255
213,6912.3809,175
214,5828.8395,165
215,6232.9116,144
216,7725.0907,190
217,0.0,0
218,0.0,0
219,11556.3342,275
220,6533.3942,171
221,4975.5273,123
222,6148.9523,146
223,6399.178,157
224,0.0,0
225,0.0,0
226,7161.7749,170
227,5047.3824,127
228,5628.4068,130
229,4182.3982,94
230,5893.0084,127
231,0.0,0
232,0.0,0
233,17666.5611,452
234,14846.9702,379
235,12893.9189,344
236,12675.2759,360
237,12949.9696,377
238,0.0,0
239,0.0,0
240,19115.2819,504
241,14147.991,380
242,12475.3833,311
243,13800.8525,344
244,15821.169,410
245,0.0,0
246,0.0,0
247,3711.6671,92
248,3287.0241,90
249,4831.4547,139
250,0.0,0
251,8364.8108,210
252,0.0,0
253,0.0,0
254,9813.7643,225
255,6111.2967,137
256,6526.7199,160
257,5820.6418,152
258,8144.4314,191
259,0.0,0
260,0.0,0
261,8859.719,217
262,6847.8062,173
263,6142.1696,148
264,6630.9065,181
265,8685.1875,198
266,0.0,0
267,0.0,0
268,8076.8581,197
269,5537.8082,146
270,6414.5709,153
271,5769.0912,143
272,7691.0891,189
273,0.0,0
274,0.0,0
275,8855.2897,207
276,0.0,0
277,11100.7143,285
278,11471.3685,277
279,13430.5677,341
280,0.0,0
281,0.0,0
282,15023.7141,400
283,14733.2914,406
284,15576.4406,425
285,0.0,0
286,16947.2271,466
287,0.0,0
288,0.0,0
289,20437.7184,522
290,17904.1934,443
291,18475.3449,483
292,3007.8686,84
293,2753.7719,69
294,0.0,0
295,0.0,0
296,6338.5191,165
297,4887.3742,121
298,5834.0486,132
299,6291.0651,147
300,7458.5434,191
301,0.0,0
302,0.0,0
303,9688.4545,231
304,8576.0822,217
305,7244.2782,180
306,0.0,0
307,9366.9549,235
308,0.0,0
309,0.0,0
310,9946.5661,250
311,9018.8551,208
312,6692.007,167
313,3614.325,98
314,6838.0535,156
315,0.0,0
316,0.0,0
317,8116.1551,191
318,5877.805,154
319,0.0,0
320,7286.9858,155
321,6547.1479,151
322,0.0,0
323,0.0,0
324,19854.0027,508
