Dia,Tempo_de_Execucao,Solucao_otima,Status_Solucao,Gap_Relativo
1,1.1089999675750732,0.0,Otimo,0.0
2,0.15799999237060547,80.523831,Otimo,0.0
3,0.127000093460083,78.468014,Otimo,0.0
4,0.30099987983703613,225.075108,Otimo,0.0
5,0.11100006103515625,248.735924,Otimo,0.0
6,0.13199996948242188,2189.2700860000004,Otimo,0.0
7,0.12100005149841309,0.0,Otimo,0.0
8,0.11100006103515625,0.0,Otimo,0.0
9,0.31599998474121094,2031.617641,Otimo,0.0
10,0.1269998550415039,1171.569763,Otimo,0.0
11,0.1419999599456787,1647.223628,Otimo,0.0
12,0.127000093460083,1489.9220670000002,Otimo,0.0
13,0.15799999237060547,3741.300306,Otimo,0.0
14,0.2690000534057617,0.0,Otimo,0.0
15,0.12599992752075195,0.0,Otimo,0.0
16,0.127000093460083,4950.163997,Otimo,0.0
17,0.1419999599456787,2471.0406840000005,Otimo,0.0
18,0.127000093460083,1834.0848560000004,Otimo,0.0
19,0.1419999599456787,2064.66658,Otimo,0.0
20,0.14299988746643066,3273.9653359999998,Otimo,0.0
21,0.11100006103515625,0.0,Otimo,0.0
22,0.31599998474121094,0.0,Otimo,0.0
23,0.127000093460083,6343.446501,Otimo,0.0
24,0.14299988746643066,1579.645369,Otimo,0.0
25,0.1100001335144043,2023.147182,Otimo,0.0
26,0.1419999599456787,4907.326605,Otimo,0.0
27,0.1269998550415039,2505.2481230000008,Otimo,0.0
28,0.11100006103515625,0.0,Otimo,0.0
29,0.1419999599456787,0.0,Otimo,0.0
30,0.31599998474121094,6700.007132000002,Otimo,0.0
31,0.127000093460083,2244.722274,Otimo,0.0
32,0.15799999237060547,1311.730378,Otimo,0.0
33,0.12599992752075195,4148.303904,Otimo,0.0
34,0.14300012588500977,4636.4886050000005,Otimo,0.0
35,0.1099998950958252,0.0,Otimo,0.0
36,0.09500002861022949,0.0,Otimo,0.0
37,0.1419999599456787,5952.517715,Otimo,0.0
38,0.127000093460083,1718.289816,Otimo,0.0
39,0.1269998550415039,3268.096095000001,Otimo,0.0
40,0.13200020790100098,1730.539872,Otimo,0.0
41,0.1529998779296875,5034.396352000001,Otimo,0.0
42,0.2539999485015869,0.0,Otimo,0.0
43,0.11100006103515625,0.0,Otimo,0.0
44,0.1419999599456787,8264.114426,Otimo,0.0
45,0.127000093460083,2182.7415549999996,Otimo,0.0
46,0.12599992752075195,1196.1444510000001,Otimo,0.0
47,0.127000093460083,3145.152819,Otimo,0.0
48,0.1419999599456787,10213.952321,Otimo,0.0
49,0.11100006103515625,0.0,Otimo,0.0
50,0.11099982261657715,0.0,Otimo,0.0
51,0.1100001335144043,0.0,Otimo,0.0
52,0.09500002861022949,0.0,Otimo,0.0
53,0.11099982261657715,0.0,Otimo,0.0
54,0.127000093460083,9340.112708000002,Otimo,0.0
55,0.15799999237060547,7092.383058,Otimo,0.0
56,0.2539999485015869,0.0,Otimo,0.0
57,0.11100006103515625,0.0,Otimo,0.0
58,0.1359999179840088,6469.4256860000005,Otimo,0.0
59,0.13300013542175293,758.775329,Otimo,0.0
60,0.11100006103515625,4779.89667,Otimo,0.0
61,0.1269998550415039,2440.164561,Otimo,0.0
62,0.127000093460083,2874.7241870000003,Otimo,0.0
63,0.10299992561340332,0.0,Otimo,0.0
64,0.10299992561340332,0.0,Otimo,0.0
65,0.1420001983642578,7806.125268999999,Otimo,0.0
66,0.14299988746643066,5588.07478,Otimo,0.0
67,0.11299991607666016,1378.6645500000002,Otimo,0.0
68,0.15600013732910156,2103.805155,Otimo,0.0
69,0.1269998550415039,4124.580467,Otimo,0.0
70,0.12600016593933105,0.0,Otimo,0.0
71,0.25300002098083496,0.0,Otimo,0.0
72,0.1269998550415039,2936.343506,Otimo,0.0
73,0.14300012588500977,6544.513759,Otimo,0.0
74,0.11099982261657715,2538.359045,Otimo,0.0
75,0.1420001983642578,1429.9579860000001,Otimo,0.0
76,0.1269998550415039,4515.768398,Otimo,0.0
77,0.11100006103515625,0.0,Otimo,0.0
78,0.11100006103515625,0.0,Otimo,0.0
79,0.1269998550415039,6938.361970000001,Otimo,0.0
80,0.1100001335144043,1258.0407140000002,Otimo,0.0
81,0.1269998550415039,1457.153499,Otimo,0.0
82,0.127000093460083,8177.347809000001,Otimo,0.0
83,0.127000093460083,2917.6600829999998,Otimo,0.0
84,0.11099982261657715,0.0,Otimo,0.0
85,0.09500002861022949,0.0,Otimo,0.0
86,0.12600016593933105,4215.544122,Otimo,0.0
87,0.1269998550415039,5821.596817000001,Otimo,0.0
88,0.1419999599456787,1624.0014990000002,Otimo,0.0
89,0.2850000858306885,2480.9122020000004,Otimo,0.0
90,0.14299988746643066,4257.49723,Otimo,0.0
91,0.12600016593933105,0.0,Otimo,0.0
92,0.10099983215332031,0.0,Otimo,0.0
