Dia,Tempo_de_Execucao,Solucao_otima,Num_Variaveis,Status_Solucao
1,2.171999931335449,0.0,304980,Otimo
2,1.065999984741211,0.0,304980,Otimo
3,1.1129999160766602,29.281666000000005,304980,Otimo
4,1.0800001621246338,296.261386,304980,Otimo
5,1.0329999923706055,215.413434,304980,Otimo
6,1.0799999237060547,1905.421291,304980,Otimo
7,1.0199999809265137,0.0,304980,Otimo
8,0.818000078201294,0.0,304980,Otimo
9,1.0950000286102295,1442.4509580000001,304980,Otimo
10,1.0169999599456787,3513.986615,304980,Otimo
11,1.0820000171661377,2160.9372030000004,304980,Otimo
12,0.9049999713897705,3252.4352370000006,304980,Otimo
13,1.063999891281128,5173.259634999999,304980,Otimo
14,0.9850001335144043,0.0,304980,Otimo
15,0.7799999713897705,0.0,304980,Otimo
16,1.066999912261963,5178.578298,304980,Otimo
17,1.0460000038146973,2877.126639,304980,Otimo
18,0.8270001411437988,3827.9427530000003,304980,Otimo
19,1.0809998512268066,7415.461786999999,304980,Otimo
20,1.064000129699707,3870.2605590000003,304980,Otimo
21,0.7630000114440918,0.0,304980,Otimo
22,0.9659998416900635,0.0,304980,Otimo
23,0.871999979019165,4572.881272,304980,Otimo
24,1.0450000762939453,5297.829441999999,304980,Otimo
25,1.0759999752044678,4540.724853,304980,Otimo
26,0.9520001411437988,8470.17909,304980,Otimo
27,1.0309998989105225,6486.00326,304980,Otimo
28,0.9930000305175781,0.0,304980,Otimo
29,0.7799999713897705,0.0,304980,Otimo
30,1.0789999961853027,4280.2686140000005,304980,Otimo
31,0.9360001087188721,4444.134099000001,304980,Otimo
32,1.0119998455047607,4999.800180000001,304980,Otimo
33,1.0800001621246338,6843.557300000001,304980,Otimo
34,0.9669997692108154,9555.041492,304980,Otimo
35,0.9690001010894775,0.0,304980,Otimo
36,0.999000072479248,0.0,304980,Otimo
37,0.9199998378753662,6472.320104,304980,Otimo
38,1.0440001487731934,2888.765004,304980,Otimo
39,1.0130000114440918,1745.5227140000002,304980,Otimo
40,0.9509999752044678,8701.96138,304980,Otimo
41,1.0739998817443848,10158.345363,304980,Otimo
42,0.939000129699707,0.0,304980,Otimo
43,0.8090000152587891,0.0,304980,Otimo
44,1.1369998455047607,5828.787450000001,304980,Otimo
45,0.8400001525878906,2482.505254,304980,Otimo
46,0.998999834060669,2308.937191,304980,Otimo
47,1.061000108718872,7244.639038,304980,Otimo
48,1.0309998989105225,20879.191567,304980,Otimo
49,0.9190001487731934,0.0,304980,Otimo
50,0.9519999027252197,0.0,304980,Otimo
51,0.7599999904632568,0.0,304980,Otimo
52,1.0280001163482666,0.0,304980,Otimo
53,0.9549999237060547,0.0,304980,Otimo
54,0.9500000476837158,16722.575616000002,304980,Otimo
55,1.0450000762939453,8220.278113999999,304980,Otimo
56,0.9529998302459717,0.0,304980,Otimo
57,0.7780001163482666,0.0,304980,Otimo
58,1.0920000076293945,9659.640675000002,304980,Otimo
59,1.0479998588562012,5650.84772,304980,Otimo
60,0.8240001201629639,1799.763385,304980,Otimo
61,1.060999870300293,7032.476249,304980,Otimo
62,0.9040000438690186,6185.36273,304980,Otimo
63,0.9670000076293945,0.0,304980,Otimo
64,0.9860000610351562,0.0,304980,Otimo
65,0.9170000553131104,10378.614668999999,304980,Otimo
66,1.0439999103546143,6362.591627000002,304980,Otimo
67,0.9010000228881836,6525.855251000001,304980,Otimo
68,1.1389999389648438,13511.958155999999,304980,Otimo
69,1.0290000438690186,6769.69004,304980,Otimo
70,0.8540000915527344,0.0,304980,Otimo
71,0.9809999465942383,0.0,304980,Otimo
72,1.0149998664855957,4711.196232,304980,Otimo
73,0.8550000190734863,7299.113456999999,304980,Otimo
74,1.0830001831054688,7898.668373,304980,Otimo
75,1.0419998168945312,5006.964762,304980,Otimo
76,0.871999979019165,8092.019355,304980,Otimo
77,0.9820001125335693,0.0,304980,Otimo
78,0.9500000476837158,0.0,304980,Otimo
79,0.8409998416900635,5059.3359789999995,304980,Otimo
80,1.062000036239624,8697.49352,304980,Otimo
81,0.8860001564025879,3086.8763249999997,304980,Otimo
82,1.1109998226165771,12174.64567,304980,Otimo
83,1.0759999752044678,9876.709728000002,304980,Otimo
84,0.7750000953674316,0.0,304980,Otimo
85,0.997999906539917,0.0,304980,Otimo
86,1.0310001373291016,4310.795707000001,304980,Otimo
87,0.8420000076293945,3594.11618,304980,Otimo
88,1.060999870300293,2692.2473609999997,304980,Otimo
89,0.8570001125335693,4649.466114000001,304980,Otimo
90,1.124000072479248,8681.731996,304980,Otimo
91,0.997999906539917,0.0,304980,Otimo
92,0.7599999904632568,0.0,304980,Otimo
93,1.0789999961853027,4262.271858000001,304980,Otimo
94,1.1080000400543213,9595.024489000001,304980,Otimo
95,0.934999942779541,7280.490662,304980,Otimo
96,1.1080000400543213,12740.284490999999,304980,Otimo
97,0.9500000476837158,0.0,304980,Otimo
98,0.8090000152587891,0.0,304980,Otimo
99,0.934999942779541,0.0,304980,Otimo
100,1.060999870300293,10650.621317000001,304980,Otimo
101,0.8540000915527344,4487.352256,304980,Otimo
102,1.0770001411437988,4689.172253,304980,Otimo
103,0.8849999904632568,4358.587935,304980,Otimo
104,1.0909998416900635,13511.935183999996,304980,Otimo
105,0.9650001525878906,0.0,304980,Otimo
106,0.8389999866485596,0.0,304980,Otimo
107,1.0119998455047607,7061.509421999999,304980,Otimo
108,1.1390001773834229,17717.843715,304980,Otimo
109,0.8539998531341553,6790.982016999999,304980,Otimo
110,1.0929999351501465,8331.952411000002,304980,Otimo
111,1.0120000839233398,0.0,304980,Otimo
112,0.7590000629425049,0.0,304980,Otimo
113,0.999000072479248,0.0,304980,Otimo
114,0.9479999542236328,8414.536489,304980,Otimo
115,1.0169999599456787,3623.239291,304980,Otimo
116,1.0149998664855957,4716.287274,304980,Otimo
117,0.9350001811981201,8069.413453000001,304980,Otimo
118,1.062999963760376,6553.128215999998,304980,Otimo
119,0.9860000610351562,0.0,304980,Otimo
120,0.7589998245239258,0.0,304980,Otimo
121,0.9509999752044678,0.0,304980,Otimo
122,0.9040000438690186,6931.142883,304980,Otimo
123,1.0750000476837158,9150.61706,304980,Otimo
124,1.0469999313354492,7775.320006999999,304980,Otimo
125,0.9030001163482666,8898.29209,304980,Otimo
126,1.0099999904632568,0.0,304980,Otimo
127,0.9500000476837158,0.0,304980,Otimo
128,0.8849999904632568,8695.995372999998,304980,Otimo
129,1.0929999351501465,2786.959108,304980,Otimo
130,0.9040000438690186,5417.43553,304980,Otimo
131,0.9819998741149902,5929.410314000001,304980,Otimo
132,1.055999994277954,8598.893979,304980,Otimo
133,0.751000165939331,0.0,304980,Otimo
134,0.9509999752044678,0.0,304980,Otimo
135,1.0469999313354492,6944.612220000001,304980,Otimo
136,0.8250000476837158,3397.4672470000005,304980,Otimo
137,1.0460000038146973,2870.707458,304980,Otimo
138,0.8910000324249268,8159.784637999999,304980,Otimo
139,1.122999906539917,13489.88308,304980,Otimo
140,0.9490001201629639,0.0,304980,Otimo
141,0.7609999179840088,0.0,304980,Otimo
142,1.1069998741149902,7411.077867999999,304980,Otimo
143,0.8100001811981201,2916.402349,304980,Otimo
144,1.062999963760376,5010.227448000001,304980,Otimo
145,1.0130000114440918,4251.853651,304980,Otimo
146,0.9500000476837158,11681.912313000003,304980,Otimo
147,0.9169998168945312,0.0,304980,Otimo
148,0.9360001087188721,0.0,304980,Otimo
149,0.9019999504089355,8271.205756000001,304980,Otimo
150,1.0750000476837158,7104.842037,304980,Otimo
151,1.0439999103546143,3259.922844,304980,Otimo
152,0.9360001087188721,12023.425346,304980,Otimo
153,1.0299999713897705,7544.346594,304980,Otimo
154,0.7929999828338623,0.0,304980,Otimo
155,0.9639999866485596,0.0,304980,Otimo
156,1.064000129699707,6697.346167,304980,Otimo
157,0.9449999332427979,7847.452670999999,304980,Otimo
158,1.060999870300293,3261.6160200000004,304980,Otimo
159,0.8090000152587891,0.0,304980,Otimo
160,1.1560001373291016,17022.787123,304980,Otimo
161,0.9800000190734863,0.0,304980,Otimo
162,0.8220000267028809,0.0,304980,Otimo
163,1.0439999103546143,8184.105428,304980,Otimo
164,1.0929999351501465,13115.701524000002,304980,Otimo
165,0.8710000514984131,5128.613378000001,304980,Otimo
166,1.0269999504089355,4442.561221,304980,Otimo
167,1.0920000076293945,13636.264708,304980,Otimo
168,0.7609999179840088,0.0,304980,Otimo
169,0.9810001850128174,0.0,304980,Otimo
170,0.8389999866485596,6592.657458,304980,Otimo
171,1.0309998989105225,4986.4459320000005,304980,Otimo
172,1.0920000076293945,2684.708939,304980,Otimo
173,0.8559999465942383,6570.873487000001,304980,Otimo
174,1.0789999961853027,7345.645860999999,304980,Otimo
175,0.9660000801086426,0.0,304980,Otimo
176,0.8380000591278076,0.0,304980,Otimo
177,1.0299999713897705,6635.888015000001,304980,Otimo
178,0.8849999904632568,7217.067096000001,304980,Otimo
179,1.0290000438690186,3834.327396,304980,Otimo
180,1.0130000114440918,3652.737980000001,304980,Otimo
181,0.9639999866485596,13625.544827000002,304980,Otimo
182,0.9149999618530273,0.0,304980,Otimo
183,0.9509999752044678,0.0,304980,Otimo
184,0.8989999294281006,8462.858126000001,304980,Otimo
185,1.0120000839233398,2177.724189,304980,Otimo
186,1.062000036239624,4912.504129,304980,Otimo
187,0.8199999332427979,4213.727019,304980,Otimo
188,1.123000144958496,13259.302208999998,304980,Otimo
189,0.7899999618530273,0.0,304980,Otimo
190,0.9509999752044678,0.0,304980,Otimo
191,1.0799999237060547,4031.5919780000004,304980,Otimo
192,0.9509999752044678,9101.973142,304980,Otimo
193,1.0299999713897705,6976.974344,304980,Otimo
194,1.0460000038146973,3333.5674890000005,304980,Otimo
195,0.8400001525878906,3981.4252960000003,304980,Otimo
196,0.9639999866485596,0.0,304980,Otimo
197,0.9500000476837158,0.0,304980,Otimo
198,0.9169998168945312,7313.468140999999,304980,Otimo
199,1.061000108718872,4272.243344,304980,Otimo
200,0.8880000114440918,12191.733545,304980,Otimo
201,1.0799999237060547,10013.188833,304980,Otimo
202,1.062000036239624,11192.912805,304980,Otimo
203,0.7620000839233398,0.0,304980,Otimo
204,0.9659998416900635,0.0,304980,Otimo
205,1.0759999752044678,11015.898837,304980,Otimo
206,0.8240001201629639,3331.6962680000006,304980,Otimo
207,1.058000087738037,5499.995663,304980,Otimo
208,0.8369998931884766,2762.5869809999995,304980,Otimo
209,1.0780000686645508,7756.808674,304980,Otimo
210,0.9679999351501465,0.0,304980,Otimo
211,0.8239998817443848,0.0,304980,Otimo
212,0.9980001449584961,3874.396805,304980,Otimo
213,1.0460000038146973,3642.2329340000006,304980,Otimo
214,0.8559999465942383,2175.718363,304980,Otimo
215,1.0150001049041748,5071.227407,304980,Otimo
216,1.0779998302459717,12232.348187,304980,Otimo
217,0.7910001277923584,0.0,304980,Otimo
218,1.0439999103546143,0.0,304980,Otimo
219,1.1080000400543213,9866.93916,304980,Otimo
220,0.8410000801086426,3932.992617,304980,Otimo
221,1.059999942779541,12011.437914,304980,Otimo
222,1.0160000324249268,5436.114337999999,304980,Otimo
223,0.8559999465942383,4137.004734,304980,Otimo
224,1.0139999389648438,0.0,304980,Otimo
225,0.9820001125335693,0.0,304980,Otimo
226,0.8829998970031738,6185.4888040000005,304980,Otimo
227,1.064000129699707,2567.183449,304980,Otimo
228,0.9049999713897705,6381.123457000001,304980,Otimo
229,1.0929999351501465,12282.937057,304980,Otimo
230,1.059999942779541,7549.828514000001,304980,Otimo
231,0.7450001239776611,0.0,304980,Otimo
232,1.0119998455047607,0.0,304980,Otimo
233,1.133000135421753,9776.642753,304980,Otimo
234,0.9259998798370361,12894.482935000002,304980,Otimo
235,1.0789999961853027,4084.377004,304980,Otimo
236,0.8860001564025879,1700.1127119999999,304980,Otimo
237,1.0299999713897705,7438.930344,304980,Otimo
238,0.9879999160766602,0.0,304980,Otimo
239,0.8510000705718994,0.0,304980,Otimo
240,1.0529999732971191,7609.411476000001,304980,Otimo
241,1.1059999465942383,8861.775497999999,304980,Otimo
242,0.8880000114440918,3620.1943340000007,304980,Otimo
243,1.0139999389648438,3728.765434,304980,Otimo
244,1.136000156402588,7382.730298,304980,Otimo
245,0.7660000324249268,0.0,304980,Otimo
246,0.9479999542236328,0.0,304980,Otimo
247,1.1080000400543213,11069.716663,304980,Otimo
248,0.934999942779541,13198.451325999999,304980,Otimo
249,1.0969998836517334,4003.994555,304980,Otimo
250,0.7910001277923584,0.0,304980,Otimo
251,1.1340000629425049,9175.127357,304980,Otimo
252,0.9729998111724854,0.0,304980,Otimo
253,0.7430000305175781,0.0,304980,Otimo
254,1.0269999504089355,5608.480495000002,304980,Otimo
255,0.9960000514984131,13856.010733000001,304980,Otimo
256,1.061000108718872,3239.439666,304980,Otimo
257,1.0460000038146973,4993.424030000001,304980,Otimo
258,0.8680000305175781,8654.448548,304980,Otimo
259,0.9689998626708984,0.0,304980,Otimo
260,0.7760000228881836,0.0,304980,Otimo
261,1.1349999904632568,6052.587742,304980,Otimo
262,1.0460000038146973,3464.4174160000007,304980,Otimo
263,0.871999979019165,5403.462028,304980,Otimo
264,1.059999942779541,9107.545381,304980,Otimo
265,1.1220002174377441,18415.417196,304980,Otimo
266,0.7639999389648438,0.0,304980,Otimo
267,0.999000072479248,0.0,304980,Otimo
268,0.8549997806549072,7249.738172,304980,Otimo
269,0.9869999885559082,1716.3908370000001,304980,Otimo
270,1.0150001049041748,3773.5504579999997,304980,Otimo
271,0.9030001163482666,5116.257822,304980,Otimo
272,1.0460000038146973,9653.857517,304980,Otimo
273,0.9669997692108154,0.0,304980,Otimo
274,0.8210000991821289,0.0,304980,Otimo
275,1.1400001049041748,13756.395389,304980,Otimo
276,0.934999942779541,0.0,304980,Otimo
277,0.871999979019165,10755.567089,304980,Otimo
278,1.0469999313354492,5072.24456,304980,Otimo
279,1.062999963760376,6641.891963000001,304980,Otimo
