Dia_Inicio,Status,Tempo,Obj,Gap,Total_Entregas,Pico_Maximo
1,OPTIMAL,123.41,172307.45844699995,0.001787680370154662,3415.0,246.0
39,INFEASIBLE,61.8,NaN,NaN,NaN,NaN
