Hora,Tempo_Segundos,Objective_HigherBound,Best_LowerBound,Gap_Percent,Pico_Y,Custo_Roteamento,Qtd_Entregas
1,3600.0,970637.0486230002,881777.4507803732,9.154770876373219,190,970637.0486230092,20919
2,7200.0,947074.033781,881422.8592036866,6.932000269843154,174,947074.0337810104,20398
3,10800.0,944352.0666739997,880995.1850545944,6.709031923077974,186,944352.06667401,20328
4,14400.0,943189.582998,881062.9499798855,6.586865900346381,181,943189.5829980099,20303
5,18000.0,941819.4290719997,880704.0048308567,6.489080852936081,183,941819.4290720092,20284
6,21600.0,940997.8909289999,881008.024845978,6.3751328946972325,174,940997.8909290113,20270
7,25200.0,940794.684803,881342.5312677381,6.319354742922576,160,940794.6848030104,20263
8,28800.0,940682.925189,881234.2234820428,6.319738576631748,161,940682.9251890109,20262
9,32400.0,939966.1680359998,881253.5437118212,6.246248675827864,172,939966.1680360105,20244
10,36000.0,939848.4331179996,881192.4098306948,6.2410087861412045,158,939848.4331180104,20239
11,39600.0,939540.9480999997,881157.5797400227,6.214031275384394,172,939540.9481000104,20231
12,43200.0,939338.447048,881272.6758369526,6.181560160081488,167,939338.447048011,20226
13,46800.0,938710.4156039997,881144.6486023264,6.132430837537205,165,938710.4156040103,20210
14,50400.0,938363.4754909999,881066.5476055956,6.106048389769607,172,938363.4754910109,20204
15,54000.0,937842.5177649998,880695.3079661924,6.093476113132149,175,937842.5177650088,20193
16,57600.0,937595.3589969999,880955.0789402771,6.041015403202742,171,937595.3589970095,20188
17,61200.0,937507.4605949998,881331.6327058654,5.9920406237068,163,937507.4605950091,20185
18,64800.0,937400.8734789998,880983.1175179726,6.01853033821513,166,937400.8734790097,20182
19,68400.0,937319.8662419999,881529.7079443212,5.952093869658218,182,937319.8662420098,20178
20,72000.0,937265.1750159999,881390.1489747028,5.961496013157993,184,937265.1750160094,20176
21,75600.0,937064.408998,881334.6788455589,5.947267831037644,169,937064.4089980095,20173
22,79200.0,936994.3227259999,880940.8468699212,5.982264192700993,183,936994.3227260087,20170
23,82800.0,936994.3227259999,881755.1420020739,5.89535916964987,183,936994.3227260087,20170
24,86400.0,936994.3227259999,881755.1420020739,5.89535916964987,183,936994.3227260087,20170
