Posicao,ID_Beneficiario,Pessoas_Atendidas,Capacidade,Dias_Autonomia,Manancial_Alocado
189,769,9,30.0,166.67,89
190,457,3,10.0,166.67,19
191,3254,5,16.0,160.0,4
192,1137,5,16.0,160.0,38
193,3021,5,16.0,160.0,82
194,3005,5,16.0,160.0,78
195,1795,5,16.0,160.0,60
196,3263,5,16.0,160.0,43
197,1313,5,16.0,160.0,58
198,2575,5,16.0,160.0,47
199,2290,5,16.0,160.0,63
200,1122,5,16.0,160.0,62
201,48,5,16.0,160.0,2
202,37,5,16.0,160.0,88
203,1812,5,16.0,160.0,12
204,2892,5,16.0,160.0,16
205,2903,5,16.0,160.0,46
206,1912,5,16.0,160.0,23
207,1893,5,16.0,160.0,3
208,3105,5,16.0,160.0,69
209,1906,5,16.0,160.0,25
210,2452,5,16.0,160.0,68
211,1446,5,16.0,160.0,75
212,911,5,16.0,160.0,29
213,885,5,16.0,160.0,62
214,2891,5,16.0,160.0,84
215,2151,5,16.0,160.0,44
216,910,5,16.0,160.0,69
217,1450,5,16.0,160.0,81
218,2858,5,16.0,160.0,57
219,1467,5,16.0,160.0,71
220,1445,5,16.0,160.0,60
221,3147,5,16.0,160.0,30
222,2477,5,16.0,160.0,62
223,2370,5,16.0,160.0,66
224,527,5,16.0,160.0,52
225,503,5,16.0,160.0,57
226,1917,5,16.0,160.0,62
227,3068,5,16.0,160.0,84
228,1883,5,16.0,160.0,83
229,1692,5,16.0,160.0,44
230,2909,5,16.0,160.0,39
231,2101,5,16.0,160.0,9
232,1443,5,16.0,160.0,64
233,1695,5,16.0,160.0,78
234,1226,5,16.0,160.0,23
235,1413,5,16.0,160.0,58
236,946,5,16.0,160.0,38
237,483,5,16.0,160.0,44
238,458,5,16.0,160.0,2
239,2189,5,16.0,160.0,38
240,491,5,16.0,160.0,49
241,493,5,16.0,160.0,22
242,2775,5,16.0,160.0,45
243,2385,5,16.0,160.0,61
244,869,5,16.0,160.0,41
245,1416,5,16.0,160.0,27
246,2811,5,16.0,160.0,49
247,490,5,16.0,160.0,49
248,2813,5,16.0,160.0,71
249,2817,5,16.0,160.0,75
250,2078,5,16.0,160.0,23
251,2067,5,16.0,160.0,80
252,475,5,16.0,160.0,90
253,3061,5,16.0,160.0,17
254,2486,5,16.0,160.0,53
255,2490,5,16.0,160.0,88
256,1018,5,16.0,160.0,3
257,1021,5,16.0,160.0,87
258,1925,5,16.0,160.0,79
259,1930,5,16.0,160.0,62
260,3226,5,16.0,160.0,30
261,154,5,16.0,160.0,82
262,2467,5,16.0,160.0,53
263,1259,5,16.0,160.0,28
264,2199,5,16.0,160.0,84
265,2814,5,16.0,160.0,54
