Tempo_Label,Tempo_Segundos,FuncaoObjetivo,BestBound,Gap_Percent,Sum_X,Pico_Y
1min,60.0,32369.000000001543,16128.800000000001,50.1720782229935,28583,269
3min,180.0,22178.300000000872,16129.7,27.272604302406556,20965,134
5min,300.0,22157.600000000875,16134.4,27.183449471064726,20942,134
10min,600.0,21876.400000000864,16136.6,26.23740652027133,20904,124
30min,1800.0,18729.90000000069,16142.2,13.815877287121625,18588,81
1h,3600.0,18548.10000000067,16142.2,12.971139901125095,18386,81
2h,7200.0,18312.400000000667,16142.2,11.850986216992789,18179,79
3h,10800.0,18222.400000000653,16142.2,11.41562033541453,18079,79
4h,14400.0,18150.000000000648,16142.2,11.062258953171213,18026,78
5h,18000.0,18114.900000000645,16142.2,10.889930388799133,17987,78
6h,21600.0,18079.80000000064,16142.2,10.716932709435781,17948,78
7h,25200.0,18061.80000000064,16142.2,10.627955131828339,17928,78
8h,28800.0,18019.500000000637,16142.2,10.418158106498902,17881,78
9h,32400.0,18005.100000000635,16156.800000000001,10.265424796310873,17865,78
10h,36000.0,17988.900000000627,16181.1,10.049530543838499,17847,78
11h,39600.0,17970.900000000634,16181.800000000001,9.955539232874091,17827,78
12h,43200.0,17952.90000000063,16181.800000000001,9.865258537621038,17807,78
13h,46800.0,17893.500000000622,16181.800000000001,9.566043535365141,17741,78
14h,50400.0,17856.200000000623,16181.800000000001,9.377135112737108,17727,77
15h,54000.0,17835.500000000622,16181.800000000001,9.271957612629663,17704,77
16h,57600.0,17828.30000000062,16181.800000000001,9.23531688383392,17696,77
17h,61200.0,17817.500000000622,16181.800000000001,9.180300266594998,17684,77
18h,64800.0,17807.60000000062,16181.800000000001,9.129809744157342,17673,77
19h,68400.0,17798.60000000062,16181.800000000001,9.083860528359326,17663,77
20h,72000.0,17792.300000000618,16181.800000000001,9.051668418363903,17656,77
21h,75600.0,17781.50000000062,16181.800000000001,8.996428872707936,17644,77
22h,79200.0,17769.800000000618,16181.800000000001,8.936510258981876,17631,77
23h,82800.0,17755.400000000616,16181.800000000001,8.862655868077095,17615,77
24h,86400.0,17743.700000000616,16181.800000000001,8.802560908945486,17602,77
