Dia,Tempo_de_Execucao,Solucao_otima,Num_Variaveis,Status_Solucao
1,2.059999942779541,0.0,304980,Otimo
2,0.9210000038146973,0.0,304980,Otimo
3,0.9809999465942383,42.48446200000001,304980,Otimo
4,1.0480000972747803,291.95999400000005,304980,Otimo
5,1.1099998950958252,339.30332200000004,304980,Otimo
6,1.0800001621246338,1929.006332,304980,Otimo
7,0.9529998302459717,0.0,304980,Otimo
8,0.8240001201629639,0.0,304980,Otimo
9,1.062999963760376,2171.417784,304980,Otimo
10,1.0480000972747803,2605.5520269999997,304980,Otimo
11,1.0119998455047607,3991.497788,304980,Otimo
12,0.8230001926422119,4484.264952,304980,Otimo
13,1.0309998989105225,4664.3888799999995,304980,Otimo
14,0.9200000762939453,0.0,304980,Otimo
15,0.7789998054504395,0.0,304980,Otimo
16,1.0310001373291016,8118.847203000001,304980,Otimo
17,1.0759999752044678,6586.389428,304980,Otimo
18,0.8399999141693115,5891.381026,304980,Otimo
19,1.0160000324249268,4767.712578000001,304980,Otimo
20,1.062000036239624,6023.9917860000005,304980,Otimo
21,0.7300000190734863,0.0,304980,Otimo
22,0.9040000438690186,0.0,304980,Otimo
23,0.875999927520752,7361.857577999999,304980,Otimo
24,1.0269999504089355,5962.186382000001,304980,Otimo
25,1.0390000343322754,5871.556401,304980,Otimo
26,0.8350000381469727,5673.861389000001,304980,Otimo
27,1.062000036239624,6372.438254,304980,Otimo
28,0.9210000038146973,0.0,304980,Otimo
29,0.7300000190734863,0.0,304980,Otimo
30,1.0309998989105225,8103.827085999999,304980,Otimo
31,0.8870000839233398,6474.056445000001,304980,Otimo
32,1.0119998455047607,4807.561743,304980,Otimo
33,1.0300002098083496,6417.974176999999,304980,Otimo
34,1.0319998264312744,7401.053938000001,304980,Otimo
35,0.6990001201629639,0.0,304980,Otimo
36,0.937999963760376,0.0,304980,Otimo
37,0.8550000190734863,7842.010937,304980,Otimo
38,0.9800000190734863,6534.330747000001,304980,Otimo
39,1.0449998378753662,6984.394386,304980,Otimo
40,0.8880000114440918,7273.647227000001,304980,Otimo
41,1.063000202178955,6221.432513999999,304980,Otimo
42,0.9369997978210449,0.0,304980,Otimo
43,0.7290000915527344,0.0,304980,Otimo
44,1.0309998989105225,8197.981550999999,304980,Otimo
45,0.8710000514984131,7655.679459000001,304980,Otimo
46,0.9960000514984131,7929.253158,304980,Otimo
47,1.0309998989105225,7849.547361000001,304980,Otimo
48,0.8920001983642578,8036.829629,304980,Otimo
49,0.937999963760376,0.0,304980,Otimo
50,0.9219999313354492,0.0,304980,Otimo
51,0.7279999256134033,0.0,304980,Otimo
52,0.9360001087188721,0.0,304980,Otimo
53,0.9509999752044678,0.0,304980,Otimo
54,0.8090000152587891,8743.508748,304980,Otimo
55,1.0329999923706055,8219.309999,304980,Otimo
56,0.7630000114440918,0.0,304980,Otimo
57,0.8929998874664307,0.0,304980,Otimo
58,1.0440001487731934,8289.972616,304980,Otimo
59,0.8880000114440918,7513.992884,304980,Otimo
60,1.1099998950958252,7781.3521900000005,304980,Otimo
61,0.9060001373291016,6897.290985000001,304980,Otimo
62,1.0979998111724854,7297.6463189999995,304980,Otimo
63,0.8880000114440918,0.0,304980,Otimo
64,0.7139999866485596,0.0,304980,Otimo
65,1.0340001583099365,7947.572090000001,304980,Otimo
66,1.062999963760376,7594.814402,304980,Otimo
67,0.8580000400543213,7956.118913,304980,Otimo
68,1.0239999294281006,7193.730383,304980,Otimo
69,0.9440000057220459,7846.462584,304980,Otimo
70,0.9389998912811279,0.0,304980,Otimo
71,0.9210000038146973,0.0,304980,Otimo
72,0.8630001544952393,7597.375301000001,304980,Otimo
73,1.0520000457763672,7589.608746000002,304980,Otimo
74,1.0179998874664307,7199.9665110000005,304980,Otimo
75,0.8559999465942383,7722.307065,304980,Otimo
76,1.0830001831054688,8488.350243,304980,Otimo
77,0.7629997730255127,0.0,304980,Otimo
78,0.9350001811981201,0.0,304980,Otimo
79,1.0449998378753662,7808.689348000001,304980,Otimo
80,0.8430001735687256,7744.939926,304980,Otimo
81,1.060999870300293,7673.426987000001,304980,Otimo
82,0.874000072479248,7277.9545880000005,304980,Otimo
83,1.0309998989105225,6935.019803,304980,Otimo
84,0.9350001811981201,0.0,304980,Otimo
85,0.7129998207092285,0.0,304980,Otimo
86,1.0460000038146973,8272.878346000001,304980,Otimo
87,0.8560001850128174,7166.636125,304980,Otimo
88,1.0319998264312744,7545.513000000001,304980,Otimo
89,1.0460000038146973,7194.081905999999,304980,Otimo
90,0.871999979019165,8208.684155000003,304980,Otimo
91,0.9330000877380371,0.0,304980,Otimo
92,0.9200000762939453,0.0,304980,Otimo
93,0.8569998741149902,8339.946433,304980,Otimo
94,1.0529999732971191,6745.955618999999,304980,Otimo
95,0.8410000801086426,6998.363017000001,304980,Otimo
96,1.0179998874664307,7810.872616000001,304980,Otimo
97,0.9350001811981201,0.0,304980,Otimo
98,0.75,0.0,304980,Otimo
99,0.9309999942779541,0.0,304980,Otimo
100,1.0490000247955322,8366.370772,304980,Otimo
101,0.8389999866485596,7723.979465,304980,Otimo
102,1.0409998893737793,7659.050222000001,304980,Otimo
103,0.8410000801086426,7864.832442,304980,Otimo
104,1.0339999198913574,8168.375456,304980,Otimo
105,0.8930001258850098,0.0,304980,Otimo
106,0.7329998016357422,0.0,304980,Otimo
107,1.005000114440918,7718.015925000001,304980,Otimo
108,1.003999948501587,8346.697262,304980,Otimo
109,0.812000036239624,7850.76018,304980,Otimo
110,1.066999912261963,6782.794490999999,304980,Otimo
111,0.9090001583099365,0.0,304980,Otimo
112,0.745999813079834,0.0,304980,Otimo
113,0.9350001811981201,0.0,304980,Otimo
114,1.121000051498413,8367.311266,304980,Otimo
115,0.8369998931884766,7293.352756,304980,Otimo
116,1.058000087738037,7561.721581,304980,Otimo
117,0.8369998931884766,7874.196210000001,304980,Otimo
118,1.0529999732971191,7413.864318,304980,Otimo
119,0.9070000648498535,0.0,304980,Otimo
120,0.7279999256134033,0.0,304980,Otimo
121,0.9160001277923584,0.0,304980,Otimo
122,0.8379998207092285,7666.326058000001,304980,Otimo
123,1.0889999866485596,7886.063279000001,304980,Otimo
124,1.0310001373291016,7462.6604640000005,304980,Otimo
125,0.9600000381469727,7800.243540000001,304980,Otimo
126,0.8839998245239258,0.0,304980,Otimo
127,0.9160001277923584,0.0,304980,Otimo
128,0.8849999904632568,8668.349042000002,304980,Otimo
129,1.0920000076293945,7839.110073,304980,Otimo
130,0.8210000991821289,7555.504996,304980,Otimo
131,1.0509998798370361,6711.730415,304980,Otimo
132,1.003999948501587,7914.8982270000015,304980,Otimo
133,0.7580001354217529,0.0,304980,Otimo
134,0.932999849319458,0.0,304980,Otimo
135,1.0420000553131104,7689.873304999999,304980,Otimo
136,0.8050000667572021,7874.642944,304980,Otimo
137,1.1080000400543213,7434.822277000001,304980,Otimo
138,0.870999813079834,7143.934343999999,304980,Otimo
139,0.9800000190734863,7713.119678,304980,Otimo
140,0.9120001792907715,0.0,304980,Otimo
141,0.7319998741149902,0.0,304980,Otimo
142,1.0699999332427979,8074.435216999999,304980,Otimo
143,1.0160000324249268,7143.22045,304980,Otimo
144,0.8210000991821289,8068.511216,304980,Otimo
145,1.0299999713897705,7439.819563999999,304980,Otimo
146,0.9159998893737793,6791.749579,304980,Otimo
147,0.9220001697540283,0.0,304980,Otimo
148,0.9119999408721924,0.0,304980,Otimo
149,0.8220000267028809,7567.765235,304980,Otimo
150,1.0759999752044678,6855.823121000001,304980,Otimo
151,0.8870000839233398,7696.397241999999,304980,Otimo
152,0.997999906539917,7332.952096000001,304980,Otimo
153,1.0490000247955322,8277.260472000002,304980,Otimo
154,0.7769999504089355,0.0,304980,Otimo
155,0.8859999179840088,0.0,304980,Otimo
156,1.0300002098083496,7531.304630000001,304980,Otimo
157,0.8259999752044678,8031.146646,304980,Otimo
158,1.0299999713897705,7366.124385999999,304980,Otimo
159,0.9219999313354492,0.0,304980,Otimo
160,0.8229999542236328,7646.482765000001,304980,Otimo
161,0.9210000038146973,0.0,304980,Otimo
162,0.7620000839233398,0.0,304980,Otimo
163,1.062000036239624,8263.247605,304980,Otimo
164,1.1099998950958252,7475.929919000001,304980,Otimo
165,0.9100000858306885,7170.777339000001,304980,Otimo
166,1.065999984741211,6972.983525000001,304980,Otimo
167,0.8629999160766602,7740.062124,304980,Otimo
168,0.9079999923706055,0.0,304980,Otimo
169,0.934999942779541,0.0,304980,Otimo
170,0.8330001831054688,7542.572375,304980,Otimo
171,1.0069999694824219,7185.869212,304980,Otimo
172,0.8589999675750732,7578.548173000001,304980,Otimo
173,1.0309998989105225,7415.261152,304980,Otimo
174,1.065000057220459,7354.740341,304980,Otimo
175,0.7179999351501465,0.0,304980,Otimo
176,0.9570000171661377,0.0,304980,Otimo
177,1.0140001773834229,7581.462522,304980,Otimo
178,0.8939998149871826,8097.233462000001,304980,Otimo
179,1.0800001621246338,6965.219325000001,304980,Otimo
180,1.001999855041504,7568.434493999999,304980,Otimo
181,0.8430001735687256,6833.907329000001,304980,Otimo
182,0.9079999923706055,0.0,304980,Otimo
183,0.75,0.0,304980,Otimo
184,1.0979998111724854,8288.569336000002,304980,Otimo
185,1.064000129699707,6830.781325000001,304980,Otimo
186,0.8559999465942383,6726.394336,304980,Otimo
187,1.1129999160766602,7337.667649000001,304980,Otimo
188,0.9230000972747803,7812.148508999998,304980,Otimo
189,0.8930001258850098,0.0,304980,Otimo
190,0.746999979019165,0.0,304980,Otimo
191,1.0709998607635498,7203.4241170000005,304980,Otimo
192,1.0750000476837158,6798.581028,304980,Otimo
193,0.875,7520.881076000001,304980,Otimo
194,0.9719998836517334,7263.595011,304980,Otimo
195,1.0940001010894775,7526.822819,304980,Otimo
196,0.7890000343322754,0.0,304980,Otimo
197,0.875999927520752,0.0,304980,Otimo
198,1.1140000820159912,8291.559159999999,304980,Otimo
199,0.8420000076293945,7483.2423020000015,304980,Otimo
200,1.0199999809265137,7475.816035000001,304980,Otimo
201,1.0320000648498535,6431.424108000001,304980,Otimo
202,0.875999927520752,7298.521639000001,304980,Otimo
203,0.9240000247955322,0.0,304980,Otimo
204,0.875999927520752,0.0,304980,Otimo
205,0.9230000972747803,7929.594080000001,304980,Otimo
206,1.0199999809265137,6608.960345999999,304980,Otimo
207,0.9049999713897705,7386.039249000001,304980,Otimo
208,1.0139999389648438,7278.585379000001,304980,Otimo
209,1.0,6164.662341000001,304980,Otimo
210,0.7160000801086426,0.0,304980,Otimo
211,0.9200000762939453,0.0,304980,Otimo
212,1.125,8312.574931,304980,Otimo
213,0.8420000076293945,5727.858061000001,304980,Otimo
214,1.0799999237060547,7580.189569,304980,Otimo
