Hora,Tempo_Segundos,Objective_HigherBound,Best_LowerBound,Gap_Percent,Pico_Y,Custo_Roteamento,Qtd_Entregas
1,3600.0,2.396557770452997e6,2.1229927848816e6,11.414913045041587,332,2.3965577704529143e6,47126
2,7200.0,2.3142205134559954e6,2.1233292135278154e6,8.248621893127545,333,2.314220513455935e6,45542
3,10800.0,2.3033691059299964e6,2.1228951208969564e6,7.83521774987829,323,2.303369105929957e6,45332
4,14400.0,2.299515209795996e6,2.1220894984133034e6,7.7157876854588485,348,2.299515209795954e6,45261
5,18000.0,2.296823970638998e6,2.122375890895817e6,7.59518717904393,334,2.2968239706389452e6,45205
6,21600.0,2.293858125994998e6,2.1232992100183507e6,7.435460547616239,338,2.293858125994958e6,45146
7,25200.0,2.2912310868039974e6,2.1237029042954203e6,7.311710436953768,340,2.291231086803949e6,45093
8,28800.0,2.289175007745996e6,2.1232261863824306e6,7.249285039459026,336,2.28917500774595e6,45046
9,32400.0,2.287383205626999e6,2.1227671179579897e6,7.196699147919385,348,2.2873832056269464e6,45016
10,36000.0,2.2846765600249968e6,2.1232718050799686e6,7.064665422192723,345,2.284676560024933e6,44963
11,39600.0,2.282764443225996e6,2.122577172399704e6,7.017249252398379,358,2.282764443225931e6,44929
12,43200.0,2.281214053796998e6,2.1234613444208074e6,6.9152962263062125,353,2.2812140537969344e6,44905
13,46800.0,2.280304710221997e6,2.122780320061035e6,6.908041256715483,362,2.2803047102219313e6,44884
14,50400.0,2.278644657565997e6,2.122634915580561e6,6.846602495365933,363,2.2786446575659304e6,44853
15,54000.0,2.2783599692049967e6,2.122991740971267e6,6.8193011786431255,376,2.2783599692049297e6,44846
16,57600.0,2.277568565279997e6,2.1229578461907636e6,6.7884111787530745,358,2.277568565279933e6,44830
17,61200.0,2.2772972622969965e6,2.1225318553274744e6,6.796012515881126,344,2.277297262296928e6,44821
18,64800.0,2.2760864121069964e6,2.1227508819760648e6,6.736806182546793,366,2.276086412106932e6,44795
19,68400.0,2.2752512712699967e6,2.1233543057754315e6,6.676052329366662,366,2.275251271269931e6,44779
20,72000.0,2.2740860467679957e6,2.123049427918414e6,6.641640454381209,379,2.2740860467679314e6,44762
21,75600.0,2.272472882986996e6,2.122712635598166e6,6.590188534702393,348,2.272472882986927e6,44731
22,79200.0,2.2708260364619982e6,2.1230084741597455e6,6.509418155719056,369,2.2708260364619326e6,44693
23,82800.0,2.269558143753996e6,2.1220894695662255e6,6.497682141064157,368,2.2695581437539295e6,44668
24,86400.0,2.2694787006429955e6,2.1229368091829913e6,6.45707278144913,369,2.2694787006429266e6,44667
