Tempo_Label,Tempo_Segundos,FuncaoObjetivo,BestBound,Gap_Percent,Sum_X,Pico_Y
1min,60.0,57224.42999999997,42993.91353064931,24.86790426632588,49347,232
3min,180.0,57224.42999999997,42993.91353064932,24.867904266325866,49347,232
5min,300.0,57224.42999999997,42993.91353064932,24.867904266325866,49347,232
10min,600.0,57224.42999999997,43210.68156162782,24.489100963298647,49347,232
30min,1800.0,57224.32999999997,43212.8391540942,24.48519859630646,49337,232
1h,3600.0,57224.27999999997,43214.87658443611,24.481572185030316,49332,232
2h,7200.0,57224.21999999997,43224.17307135136,24.46524728279148,49326,232
3h,10800.0,57224.21999999997,43260.563037659536,24.40165538707289,49326,232
4h,14400.0,57224.21999999997,43292.74124543038,24.345423589119434,49326,232
5h,18000.0,57224.07999999997,43329.67750046294,24.28069179886691,49312,232
6h,21600.0,57223.93999999997,43359.520054709305,24.228356078401234,49298,232
7h,25200.0,57223.799999999974,43375.37186165544,24.20046927737155,49284,232
8h,28800.0,57223.68999999997,43387.11382401133,24.179804161508372,49273,232
9h,32400.0,57223.59999999997,43400.60229924355,24.15611338810636,49264,232
10h,36000.0,57223.44999999997,43412.5281290408,24.135073769510882,49249,232
11h,39600.0,57223.28999999997,43425.799436448666,24.11166950301409,49233,232
12h,43200.0,57223.05999999997,43436.3844863934,24.09286660588682,49210,232
13h,46800.0,55527.84999999997,43449.70642083461,21.75150591849921,50860,225
14h,50400.0,55526.32999999997,43456.85672875162,21.736486584379623,50708,225
15h,54000.0,55525.41999999997,43469.28661930012,21.712817986248208,50617,225
16h,57600.0,55522.92999999997,43479.36021272742,21.69116397004365,50368,225
17h,61200.0,55522.02999999997,43492.70014130206,21.66586823049862,50278,225
18h,64800.0,55520.75999999997,43499.56488948894,21.65171209924187,50151,225
19h,68400.0,55273.77999999997,43507.05983078127,21.288068536689018,49906,224
20h,72000.0,55272.88999999997,43511.80621684833,21.278213936618197,49817,224
21h,75600.0,55272.25999999997,43522.21709384913,21.258481028550026,49754,224
22h,79200.0,55271.82999999997,43527.72853753708,21.247896916861446,49711,224
23h,82800.0,55271.82999999997,43531.98257108379,21.240200349646805,49711,224
24h,86400.0,55271.82999999997,43537.615774933736,21.2300085324952,49711,224
