Nome da Instância;Total de Entregas;Pico de Abastecimento (Max/Dia);Status;Custo Modelo Exato (M1);Custo Modelo Anual (M2);Custo Heurística;Gap Heurística vs M1 (%);Gap M2 vs M1 (%);Caminho da Entrada;Pasta de Saída
abastecimento_00_1550;7488;294;Erro Execução;;;;;;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas_1500\abastecimento_00_1550.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas_1500\alocacao_abastecimento_00_1550
abastecimento_10wlim_1500;7567;88;Erro Execução;;;;;;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas_1500\abastecimento_10wlim_1500.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas_1500\alocacao_abastecimento_10wlim_1500
abastecimento_full_1500;7852;300;Erro Execução;;;;;;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas_1500\abastecimento_full_1500.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas_1500\alocacao_abastecimento_full_1500
abastecimento_limite_1500;7553;259;Erro Execução;;;;;;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\entradas_1500\abastecimento_limite_1500.csv;C:\Users\lfeli\Documents\AlocacaoCarros\ModelsAndHeristics\alocacao\saidas_1500\alocacao_abastecimento_limite_1500
