Checkpoint,FuncaoObjetivo,Pico_Y
1min,1.5673415e6,6630
3min,815823.0,3358
5min,149264.5,832
10min,110852.5,545
30min,110022.5,543
90min,72339.0,354
3h,66588.0,319
6h,60483.5,275
9h,60398.5,275
12h,55858.5,235
