Hora,Tempo_s,Obj,Bound,Gap_Pct,Pico_Y,Total_X
3,10800.0,18733.80000000068,16169.4,13.688626973708415,84,18510
6,21600.0,18413.60000000066,16169.4,12.187730807667053,80,18264
9,32400.0,18268.30000000065,16169.4,11.489301139134874,79,18130
12,43200.0,17843.600000000624,16211.800000000001,9.145015579818905,77,17713
15,54000.0,17737.400000000613,16212.401298150768,8.597645099336951,77,17595
18,64800.0,17713.100000000613,16212.401298150768,8.472253314494886,77,17568
21,75600.0,17671.700000000605,16212.401298150768,8.257828629106351,77,17522
24,86400.0,17654.600000000602,16212.401298150768,8.168968437969626,77,17503
