Beneficiario,Volume
1,2.8
2,2.8
3,4.48
4,2.8
5,3.3600000000000003
6,7.279999999999999
7,2.8
8,6.879999999999768
9,2.8
10,7.56
11,5.040000000000001
12,3.64
13,2.8
14,4.2
15,2.5200000000000005
16,4.76
17,4.2
18,2.8
19,5.6
20,3.839999999999808
21,5.88
22,2.8
23,5.040000000000001
24,2.8
25,8.96
26,5.6
27,4.2
28,2.8
29,8.4
30,13.44
31,7.0
32,8.4
33,11.2
34,5.6
35,4.76
36,3.0800000000000005
37,8.4
38,4.76
39,9.919999999999904
40,12.959999999999862
41,6.44
42,3.3600000000000003
43,14.479999999999848
44,4.2
45,7.279999999999999
46,9.919999999999904
47,2.8
48,8.4
49,4.2
50,5.359999999999795
51,3.839999999999808
52,8.879999999999782
53,8.68
54,5.359999999999795
55,2.8
56,11.439999999999854
57,7.0
58,11.439999999999854
59,2.8
60,10.919999999999998
61,8.0
62,3.839999999999808
63,3.0800000000000005
64,3.839999999999808
65,3.0800000000000005
66,7.84
67,3.3600000000000003
68,3.839999999999808
69,3.3600000000000003
70,5.32
71,7.0
72,5.6
73,3.3600000000000003
74,8.68
75,3.839999999999808
76,3.839999999999808
77,3.3600000000000003
78,2.8
79,8.4
80,13.72
81,2.8
82,8.4
83,4.2
84,2.5200000000000005
85,2.8
86,11.2
87,5.88
88,3.3600000000000003
89,7.880000000000001
90,3.839999999999808
91,6.879999999999768
92,2.359999999999796
93,11.36
94,6.44
95,5.359999999999795
96,15.4
97,3.64
98,8.4
99,3.839999999999808
100,3.3600000000000003
101,3.3600000000000003
102,7.0
103,3.839999999999808
104,12.48
105,8.059999999999999
106,3.0800000000000005
107,3.3600000000000003
108,4.2
109,8.059999999999999
110,10.64
111,10.919999999999998
112,20.879999999999605
113,3.0800000000000005
114,2.8
115,8.68
116,14.840000000000002
117,5.2
118,4.48
119,2.8
120,8.4
121,8.4
122,11.439999999999854
123,4.2
124,4.2
125,6.44
126,4.48
127,9.52
128,2.8
129,12.6
130,4.48
131,3.92
132,2.5200000000000005
133,5.359999999999795
134,10.919999999999998
135,5.040000000000001
136,5.359999999999795
137,5.6
138,6.44
139,9.919999999999904
140,9.8
141,6.4
142,14.840000000000002
143,4.2
144,8.4
145,8.84
146,5.76
147,7.279999999999999
148,10.36
149,3.839999999999808
150,11.439999999999854
151,3.92
152,4.2
153,3.839999999999808
154,8.4
155,6.879999999999768
156,8.4
157,5.359999999999795
158,3.839999999999808
159,3.839999999999808
160,6.879999999999768
161,8.4
162,2.8
163,11.439999999999854
164,3.839999999999808
165,3.839999999999808
166,2.8
167,6.879999999999768
168,2.8
169,16.0
170,9.96
171,9.919999999999904
172,6.879999999999768
173,12.320000000000002
174,10.36
175,3.0800000000000005
176,13.44
177,11.76
178,14.56
179,3.3600000000000003
180,5.359999999999795
181,13.44
182,6.319999999999999
183,3.92
184,13.159999999999998
185,7.58
186,6.879999999999768
187,3.8
188,9.919999999999904
189,10.64
190,6.879999999999768
191,6.44
192,9.24
193,2.5200000000000005
194,11.2
195,11.439999999999854
196,4.48
197,6.879999999999768
198,2.8
199,5.359999999999795
200,12.6
201,1.02
202,4.48
203,7.279999999999999
204,3.839999999999808
205,12.04
206,5.6
207,7.0
208,11.2
209,9.52
210,2.8
211,11.2
212,7.84
213,4.2
214,13.159999999999998
215,18.55999999999937
216,8.12
217,7.84
218,11.080000000000002
219,7.56
220,12.320000000000002
221,10.52
222,12.04
223,17.36
224,6.160000000000001
225,4.64
226,10.8
227,9.8
228,7.44
229,14.28
230,8.079999999999583
231,16.52
232,5.359999999999795
233,3.92
234,3.3600000000000003
235,9.919999999999904
236,9.8
237,3.3600000000000003
238,9.8
239,8.68
240,5.76
241,6.44
242,4.0
243,12.6
244,12.6
245,14.56
246,8.84
247,7.0
248,4.2
249,4.76
250,14.0
251,6.44
252,11.76
253,12.6
254,6.879999999999768
255,9.919999999999904
256,6.879999999999768
257,11.439999999999854
258,4.2
259,5.040000000000001
260,6.44
261,7.279999999999999
262,8.12
263,6.160000000000001
264,8.96
265,4.2
266,5.6
267,5.6
268,7.0
269,5.6
270,5.6
271,2.8
272,5.32
273,10.080000000000002
274,4.2
275,2.8
276,5.6
277,14.0
278,4.2
279,6.720000000000001
280,9.8
281,9.919999999999904
282,8.4
283,4.2
284,6.160000000000001
285,6.319999999999999
286,6.720000000000001
287,10.36
288,13.159999999999998
289,5.6
290,3.8
291,6.6
292,10.080000000000002
293,2.8
294,5.32
295,7.279999999999999
296,7.279999999999999
297,5.6
298,2.8
299,6.44
300,3.0800000000000005
301,5.6
302,10.36
303,2.8
304,6.160000000000001
305,3.52
