Dia,Tempo_de_Execucao,Solucao_otima,Status_Solucao,Gap_Relativo
1,1.1719999313354492,0.0,Otimo,0.0
2,0.1269998550415039,0.0,Otimo,0.0
3,0.17400002479553223,80.523831,Otimo,0.0
4,0.2850000858306885,78.468014,Otimo,0.0
5,0.12599992752075195,188.425507,Otimo,0.0
6,0.14299988746643066,619.164317,Otimo,0.0
7,0.11100006103515625,0.0,Otimo,0.0
8,0.1100001335144043,0.0,Otimo,0.0
9,0.15799999237060547,1909.7586190000002,Otimo,0.0
10,0.28600001335144043,1578.5994879999998,Otimo,0.0
11,0.14699983596801758,1108.271882,Otimo,0.0
12,0.1380000114440918,1736.3031589999998,Otimo,0.0
13,0.1419999599456787,2276.929182,Otimo,0.0
14,0.12000012397766113,0.0,Otimo,0.0
15,0.11699986457824707,0.0,Otimo,0.0
16,0.12600016593933105,3583.7606180000002,Otimo,0.0
17,0.3169999122619629,3629.593842,Otimo,0.0
18,0.127000093460083,2498.586325,Otimo,0.0
19,0.1419999599456787,3098.884955,Otimo,0.0
20,0.1269998550415039,4203.144861,Otimo,0.0
21,0.1100001335144043,0.0,Otimo,0.0
22,0.11100006103515625,0.0,Otimo,0.0
23,0.1419999599456787,3625.9361710000003,Otimo,0.0
24,0.12800002098083496,3854.0961500000003,Otimo,0.0
25,0.3169999122619629,3800.4388359999994,Otimo,0.0
26,0.127000093460083,3144.60685,Otimo,0.0
27,0.15899991989135742,3787.1798150000004,Otimo,0.0
28,0.09400010108947754,0.0,Otimo,0.0
29,0.12800002098083496,0.0,Otimo,0.0
30,0.12599992752075195,3572.9443250000004,Otimo,0.0
31,0.1269998550415039,4861.344832,Otimo,0.0
32,0.127000093460083,4001.532335000001,Otimo,0.0
33,0.15799999237060547,4116.261623,Otimo,0.0
34,0.30100011825561523,3342.2014920000006,Otimo,0.0
35,0.09799981117248535,0.0,Otimo,0.0
36,0.1230001449584961,0.0,Otimo,0.0
37,0.1269998550415039,4728.401909,Otimo,0.0
38,0.127000093460083,3950.8340010000006,Otimo,0.0
39,0.1419999599456787,3784.0467920000006,Otimo,0.0
40,0.127000093460083,4006.523079,Otimo,0.0
41,0.1549999713897705,4784.837714000001,Otimo,0.0
42,0.11400008201599121,0.0,Otimo,0.0
43,0.11099982261657715,0.0,Otimo,0.0
44,0.12600016593933105,4224.399751000001,Otimo,0.0
45,0.1269998550415039,3669.3699189999998,Otimo,0.0
46,0.14300012588500977,4110.924798999999,Otimo,0.0
47,0.30099987983703613,4726.2525860000005,Otimo,0.0
48,0.127000093460083,3937.5745590000006,Otimo,0.0
49,0.1269998550415039,0.0,Otimo,0.0
50,0.1100001335144043,0.0,Otimo,0.0
51,0.11599993705749512,0.0,Otimo,0.0
52,0.10599994659423828,0.0,Otimo,0.0
53,0.09500002861022949,0.0,Otimo,0.0
54,0.127000093460083,4375.662956,Otimo,0.0
55,0.1419999599456787,4696.061621000001,Otimo,0.0
56,0.09599995613098145,0.0,Otimo,0.0
57,0.1100001335144043,0.0,Otimo,0.0
58,0.12599992752075195,4737.849268000001,Otimo,0.0
59,0.127000093460083,3870.5961310000002,Otimo,0.0
60,0.1269998550415039,4963.768316000001,Otimo,0.0
61,0.12599992752075195,3934.1981660000006,Otimo,0.0
62,0.14300012588500977,3525.8739809999997,Otimo,0.0
63,0.2850000858306885,0.0,Otimo,0.0
64,0.09399986267089844,0.0,Otimo,0.0
65,0.14300012588500977,3821.7149010000003,Otimo,0.0
66,0.11099982261657715,4328.2952399999995,Otimo,0.0
67,0.15799999237060547,4155.11217,Otimo,0.0
68,0.127000093460083,4114.238254000001,Otimo,0.0
69,0.12599992752075195,4245.023327999999,Otimo,0.0
70,0.127000093460083,0.0,Otimo,0.0
71,0.1099998950958252,0.0,Otimo,0.0
72,0.127000093460083,4066.213148,Otimo,0.0
73,0.1419999599456787,4158.500944,Otimo,0.0
74,0.14300012588500977,3854.645183,Otimo,0.0
75,0.12599992752075195,3829.923397,Otimo,0.0
76,0.127000093460083,4442.434711,Otimo,0.0
77,0.11099982261657715,0.0,Otimo,0.0
78,0.1100001335144043,0.0,Otimo,0.0
79,0.1419999599456787,4084.0199080000007,Otimo,0.0
80,0.1269998550415039,4606.61186,Otimo,0.0
81,0.14800000190734863,3828.961384,Otimo,0.0
82,0.13700008392333984,4617.935233000001,Otimo,0.0
83,0.12599992752075195,3829.6557740000003,Otimo,0.0
84,0.1119999885559082,0.0,Otimo,0.0
85,0.1420001983642578,0.0,Otimo,0.0
86,0.31599998474121094,4655.538218,Otimo,0.0
87,0.11099982261657715,3734.365686,Otimo,0.0
88,0.15799999237060547,4206.506617000001,Otimo,0.0
