Dia,Tempo_de_Execucao,Solucao_otima,Status_Solucao,Gap_Relativo
1,1.1600000858306885,0.0,Otimo,0.0
2,0.1269998550415039,0.0,Otimo,0.0
3,0.1419999599456787,93.532445,Otimo,0.0
4,0.127000093460083,141.240466,Otimo,0.0
5,0.30100011825561523,156.568757,Otimo,0.0
6,0.1269998550415039,863.6389019999999,Otimo,0.0
7,0.13100004196166992,0.0,Otimo,0.0
8,0.10700011253356934,0.0,Otimo,0.0
9,0.14299988746643066,2466.5290600000003,Otimo,0.0
10,0.3340001106262207,1229.342858,Otimo,0.0
11,0.11799979209899902,1287.177494,Otimo,0.0
12,0.13700008392333984,2379.152516,Otimo,0.0
13,0.14300012588500977,2457.35681,Otimo,0.0
14,0.1119999885559082,0.0,Otimo,0.0
15,0.14299988746643066,0.0,Otimo,0.0
16,0.2839999198913574,3182.047344,Otimo,0.0
17,0.1530001163482666,2292.390772,Otimo,0.0
18,0.13499999046325684,2515.252402,Otimo,0.0
19,0.12800002098083496,3017.368719,Otimo,0.0
20,0.15799999237060547,2963.432514000001,Otimo,0.0
21,0.11100006103515625,0.0,Otimo,0.0
22,0.1119999885559082,0.0,Otimo,0.0
23,0.15799999237060547,3822.4913810000003,Otimo,0.0
24,0.2890000343322754,2945.189552,Otimo,0.0
25,0.15799999237060547,3302.1849610000004,Otimo,0.0
26,0.12799978256225586,3683.517596,Otimo,0.0
27,0.1420001983642578,3537.2166420000003,Otimo,0.0
28,0.11500000953674316,0.0,Otimo,0.0
29,0.10699987411499023,0.0,Otimo,0.0
30,0.14300012588500977,3811.1283410000005,Otimo,0.0
31,0.1269998550415039,3056.845427,Otimo,0.0
32,0.12800002098083496,3330.7951500000004,Otimo,0.0
33,0.3190000057220459,3829.1822270000002,Otimo,0.0
34,0.12599992752075195,4223.59644,Otimo,0.0
35,0.127000093460083,0.0,Otimo,0.0
36,0.09500002861022949,0.0,Otimo,0.0
37,0.14299988746643066,4276.75134,Otimo,0.0
38,0.127000093460083,3227.531885,Otimo,0.0
39,0.1419999599456787,3606.0004070000005,Otimo,0.0
40,0.1419999599456787,3421.5549950000004,Otimo,0.0
41,0.15900015830993652,4484.350877000001,Otimo,0.0
42,0.11899995803833008,0.0,Otimo,0.0
43,0.11800003051757812,0.0,Otimo,0.0
44,0.30099987983703613,3870.5252400000004,Otimo,0.0
45,0.127000093460083,3904.024163,Otimo,0.0
46,0.15799999237060547,3889.0435199999997,Otimo,0.0
47,0.1269998550415039,3907.3550750000004,Otimo,0.0
48,0.1420001983642578,4898.036211,Otimo,0.0
49,0.1099998950958252,0.0,Otimo,0.0
50,0.11899995803833008,0.0,Otimo,0.0
51,0.10300016403198242,0.0,Otimo,0.0
52,0.11099982261657715,0.0,Otimo,0.0
53,0.09500002861022949,0.0,Otimo,0.0
54,0.12599992752075195,5808.089853,Otimo,0.0
55,0.127000093460083,4649.134102,Otimo,0.0
56,0.11100006103515625,0.0,Otimo,0.0
57,0.11100006103515625,0.0,Otimo,0.0
58,0.15799999237060547,4523.6452500000005,Otimo,0.0
59,0.30099987983703613,3779.6434680000007,Otimo,0.0
60,0.1100001335144043,3855.353094,Otimo,0.0
61,0.14299988746643066,3822.3649000000005,Otimo,0.0
62,0.1419999599456787,4078.872268,Otimo,0.0
63,0.11100006103515625,0.0,Otimo,0.0
64,0.1099998950958252,0.0,Otimo,0.0
65,0.14300012588500977,4558.782444,Otimo,0.0
66,0.11100006103515625,3897.46329,Otimo,0.0
67,0.1419999599456787,3604.8300219999996,Otimo,0.0
68,0.11100006103515625,3969.4562430000005,Otimo,0.0
69,0.1269998550415039,3717.618517,Otimo,0.0
70,0.1119999885559082,0.0,Otimo,0.0
71,0.1100001335144043,0.0,Otimo,0.0
72,0.12599992752075195,3788.2660650000003,Otimo,0.0
73,0.14299988746643066,3906.539207,Otimo,0.0
74,0.14300012588500977,3949.5885500000004,Otimo,0.0
75,0.1419999599456787,3778.033705,Otimo,0.0
76,0.28600001335144043,4211.283820000001,Otimo,0.0
77,0.1099998950958252,0.0,Otimo,0.0
78,0.127000093460083,0.0,Otimo,0.0
79,0.127000093460083,3960.4326170000004,Otimo,0.0
80,0.1419999599456787,3772.9361969999995,Otimo,0.0
81,0.1269998550415039,3727.511748000001,Otimo,0.0
82,0.127000093460083,3448.5772690000003,Otimo,0.0
83,0.12599992752075195,3694.431383,Otimo,0.0
84,0.11100006103515625,0.0,Otimo,0.0
85,0.12599992752075195,0.0,Otimo,0.0
86,0.13199996948242188,4275.8813979999995,Otimo,0.0
87,0.12100005149841309,4375.474109000001,Otimo,0.0
88,0.14300012588500977,3759.5698270000003,Otimo,0.0
89,0.13699984550476074,3998.147492,Otimo,0.0
90,0.13100004196166992,4069.0380250000007,Otimo,0.0
91,0.1119999885559082,0.0,Otimo,0.0
92,0.09500002861022949,0.0,Otimo,0.0
93,0.1419999599456787,4321.945298,Otimo,0.0
94,0.1419999599456787,4141.894636000001,Otimo,0.0
95,0.127000093460083,3789.470709,Otimo,0.0
96,0.12599992752075195,4343.961585,Otimo,0.0
97,0.11100006103515625,0.0,Otimo,0.0
98,0.09500002861022949,0.0,Otimo,0.0
99,0.11100006103515625,0.0,Otimo,0.0
100,0.12599992752075195,4802.552997,Otimo,0.0
101,0.15799999237060547,4032.199559,Otimo,0.0
