Hora,Tempo_s,Obj,Bound,Gap_Pct,Pico_Y,Total_X
3,10800.0,3453.0,3443.0,0.2896032435563278,45,3453
6,21600.0,3453.0,3444.0,0.26064291920069504,45,3453
9,32400.0,3453.0,3446.0,0.20272227048942948,45,3453
12,43200.0,3453.0,3446.0,0.20272227048942948,45,3453
15,54000.0,3453.0,3446.0,0.20272227048942948,45,3453
18,64800.0,3453.0,3446.0,0.20272227048942948,45,3453
21,75600.0,3453.0,3446.0,0.20272227048942948,45,3453
24,86400.0,3453.0,3446.0,0.20272227048942948,45,3453
