Nome da Instância;Total de Entregas;Pico de Abastecimento (Max/Dia);Status;Custo Modelo Exato (M1);Custo Modelo Anual (M2);Custo Heurística;Gap Heurística vs M1 (%);Gap M2 vs M1 (%);Caminho da Entrada;Pasta de Saída
abastecimento_00_1250;17061;110;Sucesso;912978,58;916844,67;1259398,13;37,94;0,42;/home/guilherme/ModelsAndHeristics/alocacao/entradas_1250/abastecimento_00_1250.csv;/home/guilherme/ModelsAndHeristics/alocacao/saidas_1250_40/alocacao_abastecimento_00_1250
abastecimento_full_1250;17271;370;Sucesso;977683,91;1071061,64;1482780,51;51,66;9,55;/home/guilherme/ModelsAndHeristics/alocacao/entradas_1250/abastecimento_full_1250.csv;/home/guilherme/ModelsAndHeristics/alocacao/saidas_1250_40/alocacao_abastecimento_full_1250
abastecimento_limite_1250;17106;301;Sucesso;979350,45;1075945,57;1482252,61;51,35;9,86;/home/guilherme/ModelsAndHeristics/alocacao/entradas_1250/abastecimento_limite_1250.csv;/home/guilherme/ModelsAndHeristics/alocacao/saidas_1250_40/alocacao_abastecimento_limite_1250
abastecimento_10wlim_1250;17602;77;Sucesso;953429,11;990056,72;1350401,97;41,64;3,84;/home/guilherme/ModelsAndHeristics/alocacao/entradas_1250/abastecimento_10wlim_1250.csv;/home/guilherme/ModelsAndHeristics/alocacao/saidas_1250_40/alocacao_abastecimento_10wlim_1250
