Hora,Tempo_Segundos,Objective_HigherBound,Best_LowerBound,Gap_Percent,Pico_Y,Custo_Roteamento,Qtd_Entregas
1,3600.0,99398.87550600003,95245.59396938757,4.178398915953281,62,99398.8755059999,1182
2,7200.0,99398.87550600003,95570.5451518279,3.85148255921772,62,99398.8755059999,1182
3,10800.0,99398.87550600003,95577.89697798125,3.844086272171291,62,99398.8755059999,1182
4,14400.0,99398.87550600003,95577.89697798125,3.844086272171291,62,99398.8755059999,1182
5,18000.0,99398.87550600003,95586.95904012232,3.8349694063164748,62,99398.8755059999,1182
6,21600.0,99398.87550600003,95588.85457596878,3.833062407030205,62,99398.8755059999,1182
7,25200.0,99398.87550600003,95592.13370667098,3.829763445461973,62,99398.8755059999,1182
8,28800.0,99398.87550600003,95592.13370667098,3.829763445461973,62,99398.8755059999,1182
9,32400.0,99398.87550600003,95594.15233314698,3.827732611143454,62,99398.8755059999,1182
10,36000.0,99398.87550600003,95601.29302575937,3.820548734488875,62,99398.8755059999,1182
11,39600.0,99398.87550600003,95604.39542183545,3.8174275763668284,62,99398.8755059999,1182
12,43200.0,99398.87550600003,95605.0398624606,3.816779238423493,62,99398.8755059999,1182
13,46800.0,99398.87550600003,95605.0398624606,3.816779238423493,62,99398.8755059999,1182
14,50400.0,99398.87550600003,95605.28696945241,3.8165306370278005,62,99398.8755059999,1182
15,54000.0,99398.87550600003,95607.99361502561,3.813807622748796,62,99398.8755059999,1182
16,57600.0,99398.87550600003,95607.99995145785,3.813801247996356,62,99398.8755059999,1182
17,61200.0,99398.87550600003,95607.99995145785,3.813801247996356,62,99398.8755059999,1182
18,64800.0,99398.87550600003,95610.02163021377,3.8117673429389534,62,99398.8755059999,1182
19,68400.0,99398.87550600003,95610.20434083165,3.8115835273606056,62,99398.8755059999,1182
20,72000.0,99398.87550600003,95612.45464830461,3.809319610931465,62,99398.8755059999,1182
21,75600.0,99398.87550600003,95614.07818797854,3.8076862527413886,62,99398.8755059999,1182
22,79200.0,99398.87550600003,95614.90370004805,3.8068557483062953,62,99398.8755059999,1182
23,82800.0,99398.87550600003,95616.1156253187,3.8056364937981555,62,99398.8755059999,1182
24,86400.0,99398.87550600003,95618.78085969595,3.8029551411533786,62,99398.8755059999,1182
