Tempo_Label,Tempo_Segundos,FuncaoObjetivo,BestBound,Gap_Percent,Sum_X,Pico_Y
1min,60.0,1.6235563000002364e6,42967.324271138896,97.353505741,1497073,6630
3min,180.0,826705.4000001515,42967.324271138896,94.80258333003135,802220,3358
5min,300.0,231563.79999999882,42967.324271138896,81.44471447128649,110422,992
10min,600.0,193501.7999999999,42967.99999999999,77.79452180806585,96597,827
30min,1800.0,183046.19999999934,43046.029376764054,76.48351652382611,103191,777
1h,3600.0,84413.20000000062,43085.29999999999,48.95904905867842,52744,356
2h,7200.0,84187.90000000062,43189.59999999999,48.698565945937986,52714,355
3h,10800.0,84187.90000000062,43234.29999999999,48.64547042983651,52714,355
4h,14400.0,84165.70000000061,43268.99999999999,48.59069668522963,52492,355
5h,18000.0,77900.50000000065,43303.399999999994,44.41191006476258,54307,326
6h,21600.0,77890.00000000065,43342.09999999999,44.35473103094155,54202,326
7h,25200.0,68795.60000000066,43356.19999999999,36.97823698027262,54401,285
8h,28800.0,68029.40000000065,43371.70486329275,36.24564546608917,53408,282
9h,32400.0,68022.00000000064,43380.399999999994,36.22592690600161,53334,282
10h,36000.0,66116.80000000066,43398.22672224817,34.361271685490316,54289,273
11h,39600.0,63551.60000000069,43405.899999999994,31.699752641948397,55313,261
12h,43200.0,63530.000000000684,43415.80748440408,31.66093580292206,55097,261
13h,46800.0,63508.80000000068,43422.33863565143,31.627839550344255,54885,261
14h,50400.0,58741.60000000065,43429.59999999999,26.066705707710536,53896,240
15h,54000.0,58729.20000000065,43438.511329097586,26.035921944965875,53772,240
16h,57600.0,58718.600000000646,43449.79999999999,26.003344766395127,53666,240
17h,61200.0,57099.20000000064,43458.30951455484,23.889810164495547,53033,233
18h,64800.0,57086.800000000636,43466.79999999999,23.858405095399455,52909,233
19h,68400.0,57077.10000000063,43470.59999999999,23.83880750774039,52812,233
20h,72000.0,55697.50000000063,43476.69999999999,21.94137977467661,52354,227
21h,75600.0,55689.60000000063,43482.70012323357,21.919532330573258,52275,227
22h,79200.0,55680.60000000063,43489.399999999994,21.894879006333444,52185,227
23h,82800.0,55670.40000000063,43498.79999999999,21.863683393689467,52083,227
24h,86400.0,55659.20000000062,43503.53424204629,21.83945467767089,51971,227
