Tempo_Label,Tempo_Segundos,FuncaoObjetivo,BestBound,Gap_Percent,Sum_X,Pico_Y
1min,60.0,92416.0,42507.0,54.00471779778393,43795,571
3min,180.0,92416.0,42507.0,54.00471779778393,43795,571
5min,300.0,73144.5,42507.0,41.88626622644218,43784,415
10min,600.0,73144.5,42542.5,41.837732160312804,43784,415
30min,1800.0,73144.5,42598.0,41.761854958335896,43784,415
1h,3600.0,73144.5,42647.0,41.69486427550944,43784,415
2h,7200.0,64171.0,42715.01613206249,33.435638945843934,52513,307
3h,10800.0,64018.0,42737.5,33.241432097222656,52207,307
4h,14400.0,63864.0,42756.0,33.051484404359265,51899,307
5h,18000.0,63005.0,42779.5,32.10142052218078,51663,301
6h,21600.0,62359.5,42789.5,31.382547967831687,51607,296
7h,25200.0,60360.0,42808.0,29.078860172299535,51560,280
8h,28800.0,60328.0,42817.5,29.025493966317466,51496,280
9h,32400.0,60300.0,42829.5,28.9726368159204,51440,280
10h,36000.0,59832.0,42839.5,28.400354325444578,50998,278
11h,39600.0,59803.5,42848.0,28.35201953062948,50941,278
12h,43200.0,59781.5,42857.0,28.31059776017664,50897,278
13h,46800.0,55655.5,42863.5,22.984251331853994,50549,246
14h,50400.0,55629.0,42872.03024411968,22.93222915364345,50496,246
15h,54000.0,55252.5,42878.0,22.39627166191575,49743,246
16h,57600.0,55228.0,42883.0,22.352792061997537,49694,246
17h,61200.0,55207.0,42887.5,22.315104968572825,49652,246
18h,64800.0,54563.0,42893.01987418274,21.388083730398364,49599,241
19h,68400.0,52078.5,42896.5,17.631076163868006,48335,226
20h,72000.0,52072.0,42899.5,17.615033031187586,48322,226
21h,75600.0,50874.0,42901.0,15.672052521916893,47902,218
22h,79200.0,50868.5,42906.0,15.653105556483876,47891,218
23h,82800.0,49888.0,42910.0,13.98733162283515,47412,212
24h,86400.0,49882.0,42911.5,13.973978589471153,47400,212
