Hora,Tempo_Segundos,Objective_HigherBound,Best_LowerBound,Gap_Percent,Pico_Y,Custo_Roteamento,Qtd_Entregas
3,10800.0,281529.3521150001,264755.40254106827,5.958153012436134,43,281529.35211500333,6149
6,21600.0,279948.1716970001,264755.40254106827,5.42699352663593,47,279948.1716970039,6118
9,32400.0,279355.5099050002,264755.40254106827,5.226353820226054,42,279355.50990500354,6107
12,43200.0,279255.26435600006,264755.40254106827,5.192332487758256,39,279255.2643560035,6104
15,54000.0,278881.534079,264755.40254106827,5.065280347292613,42,278881.53407900326,6094
18,64800.0,278804.93425700004,264755.40254106827,5.039197657449289,41,278804.93425700325,6092
21,75600.0,278747.8866190001,264755.40254106827,5.0197632877687575,41,278747.8866190033,6091
24,86400.0,278523.0899860001,264755.40254106827,4.943104518057679,42,278523.0899860031,6088
