Beneficiario,Volume
524,2.24
525,4.48
526,1.96
527,1.4
528,4.36
529,7.84
530,2.4
531,1.68
532,2.8
533,8.96
534,8.68
535,3.36
536,11.2
537,6.6
538,9.52
539,14.28
540,5.92
541,11.92
542,3.92
543,6.36
544,12.32
545,5.72
546,12.88
547,8.56
548,10.4
549,0.44
550,1.0
551,11.48
552,9.52
553,2.52
554,4.2
555,3.64
556,6.16
557,3.92
558,9.24
559,10.64
560,2.8
561,4.48
562,4.48
563,3.92
564,7.0
565,11.2
566,8.120000000000001
567,13.72
568,11.76
569,2.8
570,4.64
571,5.6
572,1.68
573,3.36
574,6.72
575,7.56
576,3.08
577,2.52
578,5.04
579,3.92
580,6.6
581,4.2
582,7.0
583,2.8
584,4.2
585,7.0
586,3.64
587,1.96
588,7.56
589,8.120000000000001
590,12.6
591,2.52
592,10.64
593,7.56
594,9.4
595,4.2
596,14.0
597,4.2
598,1.84
599,11.2
600,11.76
601,2.8
602,3.08
603,10.92
604,8.4
605,1.48
606,5.6
607,8.4
608,10.92
609,6.72
610,1.28
611,7.0
612,8.96
613,5.04
614,5.04
615,7.56
616,5.32
617,4.2
618,5.6
619,6.44
620,3.36
621,3.08
622,11.76
623,8.0
624,5.04
625,7.0
626,7.0
627,6.16
628,4.76
629,4.2
630,6.16
631,2.12
632,7.56
633,5.32
634,3.36
635,5.6
636,3.36
637,9.24
638,4.48
639,6.72
640,4.92
641,6.16
642,2.24
643,7.16
644,5.6
645,7.0
646,8.4
647,6.72
648,7.0
649,11.2
650,14.5
651,4.2
652,12.76
653,6.16
654,12.32
655,4.2
656,3.519999999999925
657,0.32
658,12.88
659,4.84
660,3.24
661,2.42
662,10.92
663,1.0
664,5.48
665,11.2
666,11.64
667,8.44
668,1.6
669,1.0
670,7.0
671,7.28
672,2.24
673,7.0
674,5.36
675,4.959999999999926
676,1.96
677,2.8
678,3.64
679,4.2
680,0.84
681,2.24
682,4.959999999999926
683,2.8
684,3.92
685,4.76
686,3.08
687,1.12
688,3.36
689,3.92
690,8.120000000000001
691,7.56
692,8.68
693,8.96
694,8.4
695,4.76
696,41.8
697,5.6
698,4.76
699,13.16
700,6.44
701,3.0
702,6.72
703,1.56
704,5.88
705,6.72
706,12.6
707,5.32
708,10.36
709,12.6
710,1.28
711,8.96
712,8.28
713,11.2
714,5.64
715,7.56
716,4.76
717,12.6
718,9.24
719,10.36
720,13.6
721,12.04
722,9.8
723,8.68
724,4.64
725,9.96
726,4.36
727,4.36
728,5.8
729,7.84
730,3.24
731,8.68
732,4.08
733,5.04
734,1.56
735,0.88
736,10.92
737,1.82
738,3.24
739,3.8
740,5.9
741,10.64
742,6.16
743,2.96
744,7.28
745,5.76
746,3.36
747,5.2
748,4.2
749,10.08
750,10.36
751,10.08
752,5.6
753,3.08
754,3.08
755,9.4
756,9.8
757,7.56
758,5.6
759,5.6
760,3.36
761,7.28
762,3.08
763,10.08
764,7.0
765,4.2
766,3.08
767,2.8
768,2.52
769,2.52
770,2.52
771,4.48
772,1.4
773,5.6
774,3.08
775,8.28
776,5.04
777,10.92
778,9.8
779,1.4
780,12.6
781,8.96
782,3.36
783,2.24
784,5.32
785,2.8
786,10.08
787,4.76
788,6.16
789,2.8
790,3.08
791,2.8
792,8.68
793,7.0
794,5.32
795,1.12
796,12.48
797,5.04
798,2.52
799,8.4
800,3.8
801,3.92
802,5.04
803,1.12
804,3.08
805,5.6
806,1.68
807,3.36
808,2.8
809,4.48
810,1.96
811,3.92
812,2.24
813,2.8
814,1.68
815,3.64
816,6.16
817,10.92
818,11.76
819,4.48
820,6.16
821,4.2
822,3.8
823,4.76
824,10.08
825,13.72
826,8.4
827,8.120000000000001
828,9.52
829,7.84
830,3.8
831,3.52
832,0.84
833,8.4
834,2.24
835,2.52
836,13.16
837,5.04
838,3.36
839,5.6
840,10.92
841,4.76
842,3.64
843,3.64
844,5.04
845,3.64
846,7.28
847,2.24
848,3.92
849,2.52
850,3.92
851,4.2
852,2.24
853,4.48
854,0.84
855,5.6
856,3.64
857,1.56
858,7.84
859,9.8
860,6.16
861,6.72
862,0.72
863,8.84
864,2.52
865,1.12
866,2.52
867,3.36
868,5.32
869,1.4
870,2.24
871,3.36
872,3.08
873,1.68
874,3.36
875,0.84
876,2.24
877,3.64
878,0.84
879,1.12
880,0.84
881,2.24
882,1.96
883,1.12
884,1.96
885,1.4
886,1.68
887,1.12
888,1.12
889,3.92
890,2.24
891,2.24
892,3.08
893,1.68
894,2.8
895,1.68
896,2.24
897,2.24
898,3.36
899,4.76
900,3.36
901,7.0
902,5.6
903,4.48
904,2.8
905,2.24
906,1.12
907,8.4
908,10.08
909,8.4
910,1.4
911,1.4
912,0.84
913,4.48
914,3.08
915,2.24
916,6.72
917,9.24
918,3.08
919,7.0
920,4.76
921,3.64
922,3.36
923,1.96
924,1.68
925,3.92
926,1.96
927,3.08
928,1.96
929,2.24
930,2.8
931,1.68
932,1.4
933,5.32
934,1.96
935,4.2
936,2.52
937,2.8
938,1.68
939,3.64
940,3.36
941,6.44
942,6.44
943,3.92
944,3.36
945,2.8
946,1.4
947,5.04
948,1.96
949,1.68
950,1.96
951,1.4
952,5.88
953,3.08
954,4.2
955,5.04
956,3.36
957,3.64
958,6.44
959,4.48
960,4.48
961,4.48
962,8.4
963,10.36
964,7.28
965,5.6
966,0.84
967,4.6
968,1.96
969,5.6
970,3.36
971,7.84
972,2.12
973,4.76
974,7.12
975,7.8
976,4.48
977,10.92
978,11.2
979,0.0
980,10.52
981,1.68
982,4.36
983,11.2
984,10.8
985,3.64
986,4.76
987,9.8
988,5.0600000000000005
989,8.4
990,7.28
991,7.0
992,3.08
993,14.0
994,1.16
995,12.2
996,1.4
997,9.4
998,7.28
999,6.7
1000,9.8
1001,2.4
1002,11.2
1003,11.08
1004,8.56
1005,1.0
1006,7.84
1007,2.24
1008,1.96
1009,1.4
1010,2.24
1011,8.2
1012,1.12
1013,3.92
1014,2.24
1015,5.32
1016,0.44
1017,2.24
1018,1.4
1019,5.2
1020,1.96
1021,1.4
1022,5.04
1023,3.08
1024,4.2
1025,3.08
1026,1.12
1027,5.04
1028,3.24
1029,3.36
1030,6.44
1031,6.16
1032,2.8
1033,5.6
1034,4.2
1035,7.0
1036,1.0
1037,8.96
1038,7.1
1039,8.4
1040,5.88
1041,3.64
1042,1.96
1043,3.36
1044,3.64
1045,7.0
1046,9.8
1047,2.8
1048,2.8
1049,4.2
1050,5.6
1051,3.92
1052,2.76
1053,6.16
1054,2.8
1055,1.12
1056,5.32
1057,3.92
1058,5.6
1059,4.08
1060,5.88
1061,9.52
1062,4.48
1063,5.04
1064,7.16
1065,6.04
1066,7.0
1067,4.36
1068,9.12
1069,3.92
1070,0.8
1071,6.16
1072,7.28
1073,9.96
1074,1.0
1075,4.08
1076,5.88
1077,11.2
1078,4.2
1079,9.4
1080,0.38
1081,6.6
1082,6.16
1083,8.56
1084,8.96
1085,0.44
1086,2.24
1087,7.84
1088,9.24
1089,3.08
1090,2.4
1091,3.08
1092,7.56
1093,5.88
1094,8.84
1095,7.0
1096,4.76
1097,2.68
1098,2.8
1099,7.0
1100,7.56
1101,1.6
1102,4.76
1103,7.28
1104,3.92
1105,9.8
1106,6.16
1107,1.96
1108,3.36
1109,2.52
1110,5.6
1111,3.36
1112,0.84
1113,4.48
1114,3.36
1115,3.4
1116,0.84
1117,3.92
1118,3.92
1119,1.68
1120,4.2
1121,1.68
1122,1.4
1123,3.92
1124,2.8
1125,1.68
1126,3.64
1127,6.44
1128,3.08
1129,2.52
1130,8.120000000000001
1131,3.08
1132,3.08
1133,3.64
1134,3.36
1135,2.24
1136,2.24
1137,1.4
1138,7.84
1139,1.96
1140,4.76
1141,2.24
1142,0.84
1143,1.4
1144,2.24
1145,5.32
1146,1.68
1147,2.8
1148,3.92
1149,2.52
1150,3.64
1151,6.16
1152,1.4
1153,2.4
1154,2.52
1155,3.64
1156,3.08
1157,1.68
1158,3.36
1159,2.24
1160,1.96
1161,2.24
1162,2.24
1163,10.92
1164,4.48
1165,9.8
1166,2.24
1167,2.8
1168,2.24
1169,1.68
1170,7.56
1171,10.92
1172,5.6
1173,5.04
1174,12.88
1175,3.24
1176,7.84
1177,8.4
1178,6.44
1179,8.0
1180,1.92
1181,8.96
1182,5.88
1183,4.92
1184,13.16
1185,2.4
1186,3.12
1187,11.48
1188,5.08
1189,1.92
1190,10.08
1191,4.8
1192,4.76
1193,14.84
1194,2.8
1195,2.24
1196,3.36
1197,3.36
1198,1.12
1199,1.68
1200,3.08
1201,0.84
1202,1.68
1203,3.36
1204,4.959999999999926
1205,4.48
1206,0.84
1207,1.4
1208,1.68
1209,1.96
1210,5.04
1211,3.08
1212,2.8
1213,1.12
1214,1.96
1215,1.4
1216,1.96
1217,3.08
1218,5.32
1219,2.24
1220,1.12
1221,5.6
1222,0.84
1223,5.88
1224,3.36
1225,3.92
1226,1.4
1227,3.64
1228,1.12
1229,3.08
1230,2.8
1231,1.96
1232,4.2
1233,3.92
1234,3.36
1235,1.12
1236,2.52
1237,1.68
1238,1.68
1239,7.84
1240,1.68
1241,3.92
1242,1.68
1243,1.68
1244,1.96
1245,1.68
1246,9.12
1247,4.48
1248,11.2
1249,3.36
1250,1.12
1251,3.64
1252,1.12
1253,2.24
1254,1.68
1255,3.08
1256,2.8
1257,1.96
1258,4.959999999999926
1259,1.4
1260,2.8
1261,3.92
1262,4.959999999999926
1263,4.959999999999926
1264,1.12
1265,1.96
1266,1.96
1267,3.36
1268,1.12
1269,1.68
1270,1.96
1271,1.4
1272,0.84
1273,2.52
1274,2.8
1275,2.52
1276,2.8
1277,2.52
1278,3.92
1279,3.08
1280,3.64
1281,5.6
1282,6.16
1283,1.68
1284,3.36
1285,5.6
1286,4.2
1287,11.76
1288,1.84
1289,8.0
1290,12.2
1291,0.0
1292,8.4
1293,2.0
1294,7.0
1295,3.08
1296,2.8
1297,3.36
1298,3.92
1299,4.76
1300,4.76
1301,3.36
1302,1.96
1303,4.2
1304,1.68
1305,2.24
1306,2.52
1307,3.36
1308,2.8
1309,2.24
1310,4.2
1311,3.92
1312,6.72
1313,1.4
1314,9.4
1315,13.6
1316,0.0
1317,1.1
1318,11.4
1319,1.2
1320,8.4
1321,4.48
1322,4.36
1323,5.36
1324,13.88
1325,3.8
1326,3.08
1327,11.2
1328,8.4
1329,3.92
1330,7.0
1331,2.8
1332,4.1
1333,4.2
1334,2.52
1335,2.24
1336,1.12
1337,1.96
1338,1.96
1339,3.0
1340,12.04
1341,1.68
1342,5.6
1343,12.2
1344,8.28
1345,5.48
1346,2.24
1347,12.88
1348,3.08
1349,1.4
1350,1.4
1351,1.4
1352,1.4
1353,2.24
1354,4.48
1355,3.92
1356,2.24
1357,1.96
1358,2.24
1359,2.24
1360,2.8
1361,2.52
1362,1.4
1363,2.24
1364,1.4
1365,4.48
1366,1.12
1367,1.4
1368,1.68
1369,1.4
1370,1.96
1371,1.4
1372,11.2
1373,4.96
1374,4.76
1375,12.6
1376,4.76
1377,7.0
1378,2.24
1379,1.68
1380,2.24
1381,2.24
1382,4.48
1383,5.6
1384,7.56
1385,5.88
1386,9.8
1387,13.72
1388,2.24
1389,7.0
1390,1.68
1391,12.6
1392,3.08
1393,2.52
1394,6.16
1395,7.2
1396,4.48
1397,6.44
1398,7.56
1399,9.8
1400,4.48
1401,9.8
1402,4.48
1403,11.76
1404,7.0
1405,2.24
1406,3.68
1407,1.68
1408,12.6
1409,3.92
1410,1.12
1411,10.92
1412,6.72
1413,1.4
1414,4.2
1415,1.68
1416,1.4
1417,10.47999999999992
1418,1.68
1419,3.08
1420,3.36
1421,4.2
1422,0.44
1423,1.96
1424,6.44
1425,2.8
1426,4.959999999999926
1427,2.24
1428,3.92
1429,1.12
1430,4.959999999999926
1431,9.8
1432,1.96
1433,8.96
1434,11.2
1435,8.2
1436,7.0
1437,11.76
1438,5.6
1439,0.0
1440,8.4
1441,8.68
1442,1.96
1443,1.4
1444,3.36
1445,1.4
1446,1.4
1447,1.96
1448,1.12
1449,1.96
1450,1.4
1451,2.8
1452,2.8
1453,2.8
1454,4.76
1455,5.6
1456,5.04
1457,2.8
1458,4.2
1459,4.2
1460,1.68
1461,2.52
1462,0.84
1463,4.2
1464,4.2
1465,1.16
1466,5.6
1467,1.4
1468,3.64
1469,7.28
1470,7.0
1471,4.2
1472,8.4
1473,8.4
1474,3.8
1475,10.08
1476,5.6
1477,8.4
1478,2.24
1479,1.12
1480,3.92
1481,5.6
1482,4.76
1483,5.88
1484,3.08
1485,2.8
1486,8.120000000000001
1487,3.92
1488,4.2
1489,5.32
1490,1.68
1491,1.96
1492,3.08
1493,2.24
1494,1.68
1495,3.08
1496,7.28
1497,3.36
1498,3.08
1499,11.76
1500,8.4
1501,2.96
1502,9.8
1503,6.16
1504,10.8
1505,7.84
1506,2.52
1507,1.96
1508,9.52
1509,5.04
1510,11.2
1511,6.16
1512,5.04
1513,12.6
1514,12.2
1515,14.56
1516,3.36
1517,2.8
1518,1.56
1519,6.2
1520,8.4
1521,7.28
1522,2.24
1523,8.4
1524,1.96
1525,8.68
1526,5.04
1527,2.8
1528,7.0
1529,6.72
1530,4.76
1531,5.32
1532,4.48
1533,2.4
1534,6.72
1535,12.32
1536,3.64
1537,6.640000000000001
1538,2.7
1539,7.72
1540,5.04
1541,12.48
1542,2.68
1543,4.48
1544,0.88
1545,1.44
1546,12.76
1547,14.0
1548,0.0
1549,8.4
1550,8.84
1551,3.64
1552,11.32
1553,5.6
1554,1.56
1555,9.24
1556,4.2
1557,1.0
1558,9.24
1559,6.16
1560,5.32
1561,5.6
1562,3.64
1563,4.76
1564,8.68
1565,6.76
1566,12.32
1567,14.28
1568,6.88
1569,2.52
1570,1.68
1571,8.56
1572,2.52
1573,4.92
1574,5.2
1575,5.76
1576,8.4
1577,1.56
1578,9.8
1579,8.28
1580,6.6
1581,1.68
1582,4.5600000000000005
1583,2.8
1584,4.2
1585,12.2
1586,7.56
1587,2.84
1588,8.96
1589,3.519999999999875
1590,6.16
1591,11.2
1592,7.84
1593,1.4
1594,1.68
1595,3.4
1596,13.16
1597,2.12
1598,1.4
1599,4.959999999999926
1600,1.96
1601,2.24
1602,0.84
1603,1.12
1604,3.64
1605,4.2
1606,3.08
1607,1.68
1608,2.52
1609,2.8
1610,2.52
1611,4.48
1612,5.6
1613,2.52
1614,1.68
1615,10.08
1616,5.32
1617,3.8
1618,5.88
1619,10.36
1620,7.56
1621,3.92
1622,3.92
1623,4.76
1624,2.8
1625,1.44
1626,6.16
1627,1.84
1628,2.12
1629,4.2
1630,2.8
1631,5.88
1632,6.72
1633,12.6
1634,3.08
1635,4.92
1636,6.72
1637,10.08
1638,5.04
1639,9.4
1640,5.6
1641,7.84
1642,3.92
1643,2.8
1644,5.88
1645,2.52
1646,3.08
1647,2.8
1648,3.36
1649,4.2
1650,2.24
1651,2.52
1652,5.32
1653,7.84
1654,2.24
1655,1.96
1656,2.8
1657,6.72
1658,5.04
1659,6.16
1660,6.44
1661,5.6
1662,4.8
1663,7.0
1664,11.48
1665,4.2
1666,5.6
1667,3.36
1668,7.28
1669,7.0
1670,5.04
1671,6.6
1672,5.32
1673,4.959999999999926
1674,5.6
1675,3.36
1676,9.8
1677,4.48
1678,5.04
1679,3.36
1680,6.72
1681,6.44
1682,2.24
1683,6.44
1684,13.2
1685,8.96
1686,3.92
1687,3.52
1688,7.0
1689,8.120000000000001
1690,1.0
1691,0.84
1692,1.4
1693,2.52
1694,2.52
1695,1.4
1696,1.96
1697,3.08
1698,2.8
1699,3.08
1700,4.2
1701,3.08
1702,13.16
1703,8.4
1704,9.8
1705,3.92
1706,2.8
1707,11.24
1708,3.36
1709,4.2
1710,4.48
1711,3.92
1712,2.24
1713,14.28
1714,4.2
1715,12.88
1716,5.04
1717,8.96
1718,5.6
1719,3.92
1720,2.8
1721,3.36
1722,7.56
1723,0.84
1724,1.68
1725,8.4
1726,11.48
1727,7.28
1728,3.08
1729,1.4
1730,3.08
1731,6.72
1732,1.68
1733,5.6
1734,2.24
1735,3.36
1736,9.8
1737,4.2
1738,3.92
1739,11.2
1740,2.56
1741,8.0
1742,8.96
1743,12.6
1744,5.88
1745,7.0
1746,3.92
1747,1.96
1748,6.44
1749,8.4
1750,7.28
1751,6.72
1752,1.96
1753,4.48
1754,12.6
1755,2.52
1756,1.4
1757,4.2
1758,3.36
1759,4.2
1760,6.16
1761,2.24
1762,7.0
1763,3.64
1764,10.36
1765,8.4
1766,11.76
1767,4.92
1768,4.08
1769,5.88
1770,4.76
1771,3.64
1772,3.64
1773,2.8
1774,5.88
1775,3.36
1776,2.8
1777,4.48
1778,5.32
1779,5.6
1780,5.88
1781,4.76
1782,5.04
1783,7.0
1784,9.8
1785,0.44
1786,5.04
1787,2.8
1788,3.08
1789,10.08
1790,3.92
1791,7.0
1792,5.6
1793,5.6
1794,3.92
1795,1.4
1796,5.32
1797,8.4
1798,4.76
1799,2.52
1800,6.72
1801,1.96
1802,2.24
1803,4.2
1804,6.6
1805,3.08
1806,7.56
1807,13.88
1808,9.52
1809,6.44
1810,8.0
1811,10.36
1812,1.4
1813,2.24
1814,4.48
1815,1.4
1816,5.6
1817,6.6
1818,7.28
1819,2.8
1820,3.08
1821,3.08
1822,3.64
1823,2.8
1824,8.4
1825,3.36
1826,3.36
1827,1.12
1828,2.8
1829,3.92
1830,6.16
1831,1.4
1832,6.44
1833,3.92
1834,4.2
1835,3.08
1836,3.92
1837,1.4
1838,5.88
1839,4.2
1840,4.959999999999926
1841,2.8
1842,1.12
1843,1.4
1844,5.88
1845,2.8
1846,2.52
1847,2.24
1848,2.52
1849,1.12
1850,3.36
1851,4.2
1852,7.28
1853,5.32
1854,7.28
1855,3.8
1856,3.36
1857,9.24
1858,2.8
1859,7.56
1860,0.88
1861,9.52
1862,3.08
1863,3.36
1864,5.88
1865,4.76
1866,2.24
1867,3.08
1868,3.36
1869,2.24
1870,1.96
1871,1.68
1872,1.96
1873,2.24
1874,2.8
1875,4.76
1876,1.68
1877,2.24
1878,2.24
1879,4.48
1880,1.12
1881,8.4
1882,2.24
1883,1.4
1884,3.36
1885,1.96
1886,2.24
1887,3.92
1888,4.76
1889,1.96
1890,4.2
1891,3.64
1892,3.36
1893,1.4
1894,2.8
1895,1.04
1896,3.92
1897,3.92
1898,1.96
1899,1.68
1900,4.76
1901,5.04
1902,4.2
1903,2.24
1904,2.8
1905,2.8
1906,1.4
1907,0.84
1908,1.96
1909,1.96
1910,3.36
1911,3.92
1912,1.4
1913,1.68
1914,5.04
1915,1.68
1916,2.8
1917,1.4
1918,2.8
1919,2.24
1920,2.24
1921,2.52
1922,1.68
1923,2.52
1924,2.8
1925,1.4
1926,9.24
1927,3.92
1928,6.44
1929,1.12
1930,1.4
1931,5.6
1932,0.84
1933,3.92
1934,8.4
1935,1.12
1936,4.959999999999926
1937,3.92
1938,4.2
1939,3.36
1940,7.0
1941,8.4
1942,12.88
1943,3.8
1944,7.0
1945,7.56
1946,6.72
1947,3.92
1948,1.0
1949,2.68
1950,6.44
1951,4.48
1952,5.04
1953,1.68
1954,4.76
1955,9.8
1956,7.28
1957,1.68
1958,5.04
1959,1.96
1960,1.4
1961,1.68
1962,3.08
1963,1.4
1964,5.04
1965,0.16
1966,0.84
1967,7.72
1968,5.6
1969,6.44
1970,6.36
1971,5.88
1972,3.36
1973,1.68
1974,3.08
1975,10.24
1976,5.6
1977,1.0
1978,11.76
1979,3.36
1980,9.96
1981,12.76
1982,13.16
1983,2.8
1984,7.0
1985,4.48
1986,8.96
1987,3.08
1988,1.68
1989,3.36
1990,4.48
1991,3.08
1992,7.84
1993,2.12
1994,11.18
1995,11.2
1996,0.44
1997,2.28
1998,11.2
1999,11.64
2000,9.76
2001,1.12
2002,10.52
2003,1.96
2004,7.28
2005,1.96
2006,7.08
2007,1.12
2008,2.8
2009,4.48
2010,3.92
2011,3.92
2012,2.24
2013,7.0
2014,5.32
2015,4.2
2016,11.2
2017,3.92
2018,4.36
2019,6.16
2020,2.8
2021,4.76
2022,3.36
2023,5.6
2024,3.8
2025,3.08
2026,4.48
2027,9.8
2028,2.12
2029,3.24
2030,7.84
2031,0.0
2032,3.92
2033,2.52
2034,4.36
2035,1.68
2036,11.2
2037,1.4
2038,10.36
2039,5.6
2040,2.12
2041,2.52
2042,8.96
2043,8.68
2044,7.84
2045,6.44
2046,4.48
2047,2.8
2048,5.6
2049,4.76
2050,5.32
2051,8.4
2052,9.52
2053,3.5199999999996727
2054,4.48
2055,2.52
2056,3.36
2057,0.84
2058,5.88
2059,8.4
2060,8.68
2061,5.32
2062,2.52
2063,2.12
2064,3.64
2065,2.52
2066,6.16
2067,1.4
2068,1.68
2069,5.6
2070,3.64
2071,3.36
2072,2.8
2073,9.24
2074,4.76
