Beneficiario,Volume
1,6.8
2,6.8
3,4.48
4,6.8
5,4.959999999999937
6,7.28
7,6.8
8,10.479999999999858
9,6.8
10,7.56
11,5.04
12,4.039999999999843
13,6.8
14,4.2
15,7.719999999999903
16,4.76
17,4.2
18,6.8
19,5.6
20,8.639999999999883
21,5.88
22,6.8
23,5.04
24,6.8
25,8.96
26,5.6
27,4.2
28,6.8
29,8.4
30,0.44
31,7.0
32,8.4
33,11.2
34,5.6
35,4.76
36,5.879999999999928
37,11.4
38,4.76
39,12.319999999999943
40,14.159999999999918
41,6.44
42,4.959999999999937
43,15.07999999999991
44,2.2
45,7.28
46,12.319999999999943
47,6.8
48,11.4
49,4.2
50,9.559999999999874
51,8.639999999999883
52,12.479999999999864
53,8.68
54,9.559999999999874
55,6.8
56,13.239999999999911
57,10.36
58,13.239999999999911
59,6.8
60,10.92
61,10.5
62,8.639999999999883
63,5.879999999999928
64,8.639999999999883
65,5.879999999999928
66,7.84
67,4.959999999999937
68,8.639999999999883
69,4.959999999999937
70,5.32
71,6.0
72,5.6
73,4.959999999999937
74,0.48
75,8.639999999999883
76,8.639999999999883
77,4.959999999999937
78,6.8
79,11.4
80,13.72
81,6.8
82,11.4
83,4.2
84,3.719999999999901
85,6.8
86,11.2
87,5.88
88,3.36
89,6.48
90,8.639999999999883
91,10.479999999999858
92,6.559999999999874
93,12.18
94,6.44
95,9.559999999999874
96,2.4
97,4.039999999999843
98,8.4
99,8.639999999999883
100,4.959999999999937
101,4.959999999999937
102,7.0
103,8.639999999999883
104,1.82
105,11.32
106,5.879999999999928
107,4.959999999999937
108,4.2
109,6.76
110,10.64
111,10.92
112,24.479999999999755
113,5.879999999999928
114,4.8
115,8.68
116,14.84
117,5.6
118,4.48
119,6.8
120,11.4
121,11.4
122,13.239999999999911
123,4.2
124,4.2
125,6.44
126,4.48
127,9.52
128,6.8
129,12.6
130,4.48
131,3.92
132,7.719999999999903
133,9.559999999999874
134,10.92
135,5.04
136,9.559999999999874
137,5.6
138,6.44
139,12.319999999999943
140,9.8
141,3.8
142,14.84
143,3.8
144,8.4
145,1.56
146,9.38
147,7.28
148,10.36
149,8.639999999999883
150,13.239999999999911
151,3.92
152,4.2
153,8.639999999999883
154,11.4
155,10.479999999999858
156,11.4
157,9.559999999999874
158,8.639999999999883
159,8.639999999999883
160,10.479999999999858
161,11.4
162,6.8
163,13.239999999999911
164,8.639999999999883
165,8.639999999999883
166,6.8
167,10.479999999999858
168,6.8
169,3.5
170,11.48
171,12.319999999999943
172,10.479999999999858
173,12.32
174,10.36
175,5.879999999999928
176,13.44
177,11.76
178,7.16
179,4.959999999999937
180,9.559999999999874
181,13.44
182,9.66
183,3.92
184,16.75999999999962
185,8.42
186,10.479999999999858
187,3.8
188,12.319999999999943
189,10.64
190,10.479999999999858
191,6.44
192,9.24
193,7.719999999999903
194,11.2
195,13.239999999999911
196,4.48
197,10.479999999999858
198,6.8
199,9.559999999999874
200,12.6
201,4.76
202,4.48
203,7.28
204,8.639999999999883
205,12.04
206,5.6
207,7.0
208,11.2
209,9.52
210,6.8
211,11.2
212,7.84
213,4.2
214,13.16
215,31.75999999999962
216,8.120000000000001
217,7.84
218,12.04
219,7.56
220,12.32
221,11.76
222,12.04
223,17.36
224,6.16
225,8.82
226,11.9
227,9.8
228,10.22
229,14.28
230,20.679999999999744
231,16.52
232,9.559999999999874
233,3.92
234,4.959999999999937
235,12.319999999999943
236,9.8
237,4.959999999999937
238,9.8
239,8.68
240,9.38
241,6.44
242,3.8
243,12.6
244,12.6
245,14.56
246,10.92
247,7.0
248,4.2
249,4.76
250,1.0
251,6.44
252,11.76
253,12.6
254,10.479999999999858
255,12.319999999999943
256,10.479999999999858
257,13.239999999999911
258,4.2
259,5.04
260,6.44
261,7.28
262,8.120000000000001
263,6.16
264,8.96
265,4.2
266,5.6
267,5.6
268,7.0
269,5.6
270,5.6
271,6.8
272,5.32
273,10.08
274,4.2
275,6.8
276,5.6
277,1.0
278,4.2
279,6.72
280,9.8
281,12.319999999999943
282,0.6
283,4.2
284,6.16
285,9.66
286,6.72
287,10.36
288,0.16
289,5.6
290,3.8
291,9.8
292,10.08
293,6.8
294,5.32
295,7.28
296,7.28
297,5.6
298,6.8
299,6.44
300,5.879999999999928
301,5.6
302,0.0
303,6.8
304,6.16
305,3.52
306,5.04
307,9.559999999999874
308,7.28
309,8.120000000000001
310,5.6
311,8.4
312,12.6
313,8.4
314,3.92
315,7.0
316,7.0
317,4.959999999999937
318,5.32
319,4.2
320,4.48
321,3.92
322,8.96
323,7.0
324,4.48
325,8.4
326,5.04
327,6.44
328,7.0
329,5.6
330,5.879999999999928
331,4.76
332,6.8
333,7.28
334,13.16
335,0.88
336,7.56
337,9.559999999999874
338,12.04
339,5.48
340,8.639999999999883
341,9.0
342,10.36
343,8.639999999999883
344,5.879999999999928
345,10.479999999999858
346,9.559999999999874
347,5.88
348,8.639999999999883
349,11.76
350,10.479999999999858
351,7.0
352,10.479999999999858
353,12.319999999999943
354,4.2
355,11.4
356,8.639999999999883
357,4.039999999999843
358,12.319999999999943
359,13.44
360,9.52
361,3.92
362,7.0
363,4.2
364,5.6
365,6.8
366,4.2
367,4.039999999999843
368,10.479999999999858
369,5.04
370,10.64
371,11.4
372,13.239999999999911
373,12.319999999999943
374,8.639999999999883
375,6.72
376,5.879999999999928
377,11.4
378,11.2
379,6.8
380,8.639999999999883
381,4.2
382,7.719999999999903
383,3.92
384,4.48
385,6.8
386,4.039999999999843
387,11.4
388,9.559999999999874
389,7.28
390,8.639999999999883
391,6.8
392,6.8
393,4.959999999999937
394,8.639999999999883
395,8.639999999999883
396,8.639999999999883
397,4.039999999999843
398,5.88
399,5.879999999999928
400,11.2
401,8.639999999999883
402,10.479999999999858
403,11.4
404,10.479999999999858
405,4.48
406,9.559999999999874
407,5.32
408,7.28
409,1.0
410,5.6
411,13.72
412,3.92
413,5.0
414,10.64
415,4.2
416,7.0
417,5.32
418,8.639999999999883
419,8.120000000000001
420,9.52
421,4.2
422,5.6
423,5.6
424,3.92
425,4.2
426,6.8
427,4.48
428,6.8
429,11.76
430,11.48
431,3.92
432,5.879999999999928
433,7.719999999999903
434,7.719999999999903
435,10.479999999999858
436,5.04
437,3.24
438,5.48
439,12.6
440,9.8
441,6.72
442,4.959999999999937
443,3.92
444,4.039999999999843
445,8.639999999999883
446,11.4
447,11.4
448,4.959999999999937
449,9.559999999999874
450,10.479999999999858
451,11.4
452,9.8
453,4.959999999999937
454,3.92
455,4.959999999999937
456,7.719999999999903
457,7.239999999999933
458,11.4
459,13.239999999999911
460,15.07999999999991
461,12.319999999999943
462,7.719999999999903
463,12.319999999999943
464,3.92
465,8.639999999999883
466,8.639999999999883
467,5.879999999999928
468,6.8
469,7.719999999999903
470,9.559999999999874
471,6.8
472,6.8
473,9.559999999999874
474,7.719999999999903
475,11.4
476,8.639999999999883
477,1.28
478,9.559999999999874
479,4.76
480,8.639999999999883
481,7.719999999999903
482,6.8
483,11.4
484,10.479999999999858
485,4.959999999999937
486,8.639999999999883
487,9.559999999999874
488,14.159999999999918
489,10.479999999999858
490,11.4
491,11.4
492,10.479999999999858
493,11.4
494,5.04
495,5.6
496,13.239999999999911
497,4.959999999999937
498,9.559999999999874
