Hora,Tempo_Segundos,Objective_HigherBound,Best_LowerBound,Gap_Percent,Pico_Y,Custo_Roteamento,Qtd_Entregas
1,3600.0,460533.5859199998,432843.52218755503,6.01260463493207,98,460533.58592000214,10979
2,7200.0,456389.9448519999,432893.43994950753,5.1483397405067475,105,456389.94485200197,10877
3,10800.0,455307.5200609999,432818.02591865085,4.939407576517958,106,455307.52006100153,10852
4,14400.0,454511.5416459999,432946.1194569134,4.744746879471525,90,454511.54164600116,10836
5,18000.0,453715.52958099986,432857.07772489137,4.597253233842542,95,453715.529581002,10819
6,21600.0,453686.97484299995,432768.28812400025,4.610819326748071,95,453686.9748430018,10817
7,25200.0,453472.54205999995,432869.47623316536,4.543398754253227,104,453472.54206000216,10811
8,28800.0,453302.018032,432802.7100667427,4.52221855403481,109,453302.01803200156,10808
9,32400.0,453257.87291099987,432940.37653350324,4.482546821969071,114,453257.8729110017,10806
10,36000.0,453257.87291099987,432872.335347804,4.497558405830205,114,453257.8729110017,10806
11,39600.0,453037.1285910001,432871.8804185858,4.4511248416063465,112,453037.12859100197,10802
12,43200.0,452951.566153,432971.2009253774,4.411148281773123,106,452951.56615300186,10799
13,46800.0,452774.850184,432837.30563519296,4.4034125439398295,95,452774.8501840023,10795
14,50400.0,452560.7167749999,432894.6791870076,4.345502572148724,92,452560.7167750026,10790
15,54000.0,452378.96887499985,432862.9799429106,4.314079626783411,99,452378.96887500264,10783
16,57600.0,452265.50386099983,432829.93423534365,4.297380512051953,112,452265.50386100257,10781
17,61200.0,452253.0504589998,432777.4526453121,4.306349684965432,106,452253.0504590023,10780
18,64800.0,452174.7056849999,432716.0225412635,4.303355074729005,105,452174.70568500226,10779
19,68400.0,452148.7543429999,432798.41279551503,4.279640574395057,107,452148.75434300205,10778
20,72000.0,452148.7543429999,432768.1405333542,4.286335774120826,107,452148.75434300205,10778
21,75600.0,452087.99228299997,432823.63243789686,4.2611969735847195,104,452087.99228300207,10777
22,79200.0,452087.99228299997,432811.4232001219,4.263897606643628,104,452087.99228300207,10777
23,82800.0,451997.28084900003,432978.8340923476,4.20764627630712,105,451997.2808490023,10776
24,86400.0,451997.28084900003,432702.07451052987,4.268876640635403,105,451997.2808490023,10776
