Dia_Inicio,Status,Tempo,Obj,Gap,Total_Entregas,Pico_Maximo
1,TIME_LIMIT,21607.02,262690.24447399995,0.039101671837272436,5202.0,313.0
47,TIME_LIMIT,21615.15,370208.6740430004,0.03145066980733301,7298.0,462.0
93,TIME_LIMIT,21601.64,390295.7885340004,0.03406447047665578,7696.0,538.0
139,TIME_LIMIT,21601.11,392978.8053010003,0.04214572570818882,7724.0,441.0
185,TIME_LIMIT,21600.85,398492.96162100043,0.039912099614963135,7831.0,438.0
231,TIME_LIMIT,21601.01,399368.9171940003,0.03262469495784309,7818.0,504.0
277,TIME_LIMIT,21618.34,404799.8873930004,0.03371479486529769,7941.0,458.0
323,TIME_LIMIT,21601.29,305316.1329480001,0.011842847729283035,5961.0,508.0
